rank,word,reading_kana,reading_romaji,part_of_speech,meaning,labels,example_1,example_2,example_3
12,アナウンサー,,anaunsaa,"Noun, Katakana",announcer,jlpt_n4,"私は将来テレビのアナウンサーになりたい

I want to become a TV announcer in the future.","彼がいきなりアナウンサーのまねをしてしゃべり始めたので笑ってしまった

He suddenly started doing an impression of an announcer and we all cracked up.","この新人のアナウンサーさっきからとちってばかりいる

This new announcer keeps stumbling."
13,あんな,,anna,Pre-noun adjectival,such,jlpt_n4,"ではないらしい。

The young actor, who had been replaced in the lead role because of a dispute with his co-star, is apparently upset at hearing the news of the film’s completion. He has been voicing his opinion, saying, “They are boasting that the film will be a success, but I am sure it will be a flop,” but he wasn’t calm deep down, from what I hear.","今ではほとんど話題にあがらない。

The old adage “a rumor lasts 75 days” is indeed true. Even a major incident that caused such a stir in our society is hardly mentioned after 3 months.","は見かけによらないものだ。

It’s surprising that someone who looks so mild-mannered actually engaged in workplace harassment towards his subordinates. Appearances can be deceiving."
14,案内,あんない,annai,"Noun, Suru verb",to guide,jlpt_n4,"に合格しなければならない。

To become a police sergeant, one must pass a written test on jurisprudence and social common sense, as well as a practical exam on arrest techniques and other skills.","の案内が載っていた。これからは気候も良い時期なのでどれかに出かけてみようかなと思う。

When I opened the newspaper, I found information on various local autumn events. Since the weather will be nice from now on, I think I would like to go to one of the events.","のトラブルに対応したりする。

Police officers work at the police box or residential police box; their duties include patrolling the town, giving directions at the police box, and dealing with problems that people in the community may have."
15,安心,あんしん,anshin,"Noun, Adjective, な-adjective, Suru verb",peace of mind,jlpt_n4,"でも、安心して適切な医療が受けられる制度を作り、維持していくことが重要だ。

It is important to create and maintain a system in which anyone can receive appropriate medical care at any time with peace of mind.","雇った目上礼儀作法心得て任せられる

The recently hired part-time clerk knows how to greet and treat superiors with courtesy and she has good manners and etiquette; she can be trusted to serve our customers.","が抜けた。

Giving a presentation at an international symposium for the first time in my life made me very nervous. As soon as it was over, I felt at ease and tension left my body immediately."
16,安全,あんぜん,anzen,"Noun, Adjective, な-adjective",safety; security​,jlpt_n4,"の安全をよく確認しなければならない。

Before reversing a vehicle, one must first carefully check behind.","いる。

In order to make products quickly and safely, the factory divides work into two categories: work that is delegated to robots and work, such as inspections, that needs to be completed by human.","という。

General anesthesia is administered to patients so that they can undergo surgery safely and painlessly. On the other hand, the procedure which targets only a part of the body is called “local anesthesia.”"
17,アルバイト,,arubaito,"Noun, Suru verb, Katakana",part-time job,jlpt_n4,"おらず、予定が何もない。

I don’t have to work my part-time job this weekend, and my schedule is open for the first time in a long time.","ため、家庭教師紹介サイトの会員に登録し、家庭教師のアルバイトを始めた。

In order to earn some extra money, my older brother, who is a college student, registered as a member of a tutoring referral website and began working part-time as a tutor.","40年間勤め上げた

My father ended his career as a schoolteacher after 40 years."
18,アルコール,,arukooru,"Noun, Katakana",alcohol,jlpt_n4,"ができないようになっている。

The lights used in an operating room are called shadowless lamps, which means that no shadows are cast when a hand or medical instrument is held up under the light.","の治療では、多くの場合、入院治療が選択される。

Inpatient treatment is often the treatment of choice for people with alcoholism.","された。

Alcohol above the standard limit set by government ordinance was detected in the body of a famous singer who was arrested for a hit-and-run accident."
19,浅い,あさい,asai,"Adjective, い-adjective",shallow,jlpt_n4,"に、浅い眠りと深い眠りを交互に繰り返している。

During a night’s sleep, a person alternates between shallow and deep sleep.","の行動をとることがある。

My sister is a hasty person and sometimes acts before listening to the whole story, which often ends up in a miscalculated action on her part.","の高い海に分布している。

Coral reefs are distributed in shallow, clear waters in the tropics and subtropics."
20,遊び,あそび,asobi,Noun,playing,jlpt_n4,"から両親が遊びに来る予定だ。

My parents will be visiting from the country next week.","次の日のテスト勉強をしているとき、友だちが突然部屋に遊びに来た。私はニコニコ笑って

While I was studying for the next day’s test, a friend unexpectedly came to visit me in my room. I welcomed him with a big smile, but the truth of the matter was that I was actually annoyed.","で遊び始めた。

My 3-year-old daughter, who was hungry and grumpy, was in a better mood after eating lunch and began playing by herself."
21,集まる,あつまる,atsumaru,"Verb, Godan verb, Intransitive verb",to gather; to collect; to assemble,jlpt_n4,"を伸ばし政権交代となるかどうかに注目が集まっている。

As the government’s approval rating continues to decline, all eyes are on the upcoming general election to see whether the first opposition party will gain dominance and replace the party currently in power.","のを感じた。

When my name was called as the class representative relay runner, all eyes immediately fell on me and I felt my face blush.","芸術家憧れて渡米一流画家通った

Longing to be in New York, where many artists gather, I moved to the United States and attended art school in order to become a first-class artist."
22,集める,あつめる,atsumeru,"Verb, Ichidan verb, Transitive verb",to collect; to assemble; to gather,jlpt_n4,"を集めている。

In Nagasaki, a city known for a long history of exchange between Japan and the Netherlands, a theme park recreating typical Dutch streets has been built and is gaining popularity.","を使うものだ。

“Hypnosis selling” is a fraudulent sales tactic that involves gathering people in a small venue, enlivening the atmosphere with free gifts and amusing stories, and then selling expensive products to them after they become trapped in a situation where it is impossible to make a cool-headed judgement.","が現れ、現状に不満を持つ若者たちから急激な支持を集め始めた。

As the conflict continued over the years, a radical faction emerged with radical policies, including a willingness to use force to expand autonomy. Rapidly, this faction began to attract support from young people dissatisfied with the status quo."
23,謝る,あやまる,ayamaru,"Verb, Godan verb",to apologize,jlpt_n4,"友だちとけんかした。早く

I had a fight with a friend. I now want to make up with my friend so that we can play together again, but I can’t apologize to him.","がおさまる。

I am stubborn, so when my husband and I fight, it is hard for me to apologize. That being the case, it is usually my husband who apologizes first, and then the fight blows over.","をきいていない。

The two senior students in the lab had a fight last week and haven’t spoken to each other since. It seems that the cause of the fight was not as simple as we thought; just apologizing may not be sufficient."
24,倍,ばい,bai,Noun,double,jlpt_n4,"で、みじめに感じていた。

I had always been a substitute player and felt miserable. I practiced three times as hard as anyone else every day because I thought that I could never become a regular player without that effort.","ミュージカルになると、出演者のオーディションも倍率が高まり、受かるための競争は激しくなる。

When a popular director takes on a musical, performer auditions become more competitive, making the competition to get cast much more intense.","去年の夏は暑かった。エアコンを長時間使ったので電気料金がいつもの

Last summer was hot. I used the air conditioner for a long time, so my electricity bill was about double the usual price."
25,番組,ばんぐみ,bangumi,Noun,program (e.g. TV),jlpt_n4,"で一番印象に残るシーンだった。

The scene where the hungry lion attacked its prey, a zebra, and shared its meat with its cubs was the most memorable scene in the documentary program, reminding us of the providence of the natural world.","している。公共放送のニュース番組では番組の

Fraud in which people impersonate bank employees or police officers to swindle people out of their cash cards is rampant. Public broadcasting news programs have established a section in one of their programs where the newscaster, citing specific examples of fraudulent tactics, repeatedly warns people not to hand over their cards or PINs to strangers under any circumstances in order to avoid being scammed.","なった。

I felt nostalgic when my hometown was mentioned on a morning news program."
26,場所,ばしょ,basho,Noun,place,jlpt_n4,"を見つけることができた。

Even though I transferred to a new school only a short time ago, I quickly found my feet in the new class, and
feel comfortable in the school.","である。

Sprinkle salt and pepper on top of a thinly sliced tomato, drizzle a few drops of olive oil, and you will have an instant tomato salad.","を記入し、よく見える場所に貼らなければならない。

When disposing of bulky waste, you must write your name or receipt number on the bulky waste disposal ticket and attach it prominently."
27,ベル,,beru,"Noun, Katakana",bell,jlpt_n4,"目指す17成る

The UN’s Sustainable Develoment Goals (SDGs) consist of 17 goals aimed on a global scale.","がはってあった。

The company’s reception desk was empty, and there was a sign that read, “Please ring the bell if you need us.”","のワンピースにベルトやスカーフをあしらい、アクセントをつけて楽しむ。

A simple white dress can be accessorized with a belt or scarf for a pleasing style."
28,美術館,びじゅつかん,bijutsukan,Noun,art gallery; art museum,jlpt_n4,"を運んでいる。

For the past few years, I have pursued my appreciation of art by visiting art museums whenever I find spare time.","がなかったためである。

The reason why prominent museums in Europe today boast a wide variety of valuable paintings is because the royal families of the regions were once devoted to collecting these works of art.","いる。

The museum was not crowded with visitors in the afternoon on weekdays, and young people who appeared to be art school students were quietly copying the art works."
29,びっくり,,bikkuri,"Adverb, Suru verb",to be surprised,jlpt_n4,"がいなかったので、どこに整列したらいいのかわからなかった。

When I arrived on the platform of the station, I heard an announcement asking for cooperation through boarding in line, but there were no station staff, so I did not know where to line up.","に声をかけられて、びっくりした。

I was surprised to be approached by an acquaintance on a trip where I didn’t think I would meet anyone I knew.","がよく落ちる。

This detergent removes dirt surprisingly well."
30,ビル,,biru,"Noun, Katakana",building,jlpt_n4,"が見える。

You can see Mt. Fuji from the top floors of the building where my company is located.","は説明のつかないものに恐怖を感じるのかもしれない。

I don’t believe that ghosts exist, but maybe people are afraid of things they can’t explain.","が起こりやすい。

In the vicinity of high-rise buildings, localized strong winds, often referred to as “building winds,” are likely to occur."
31,僕,ぼく,boku,Pronoun,I (used by males),jlpt_n4,"しまった。

My girlfriend was very beautiful, but my love for her instantly evaporated like the ebbing tide of the ocean when I heard her laughing at her long-time childhood friend, whom she called “provincial” and “dumb.”","だ。

He and I have been friends with each other since elementary school, and we are able to talk openly about anything.","がある。それで、たまに恋人に「そんなにきょろきょろしないの」とたしなめられる。

I am a bit fidgety and have a habit of casting glances in various directions. My girlfriend sometimes reproves me for this, saying, “Don’t look around so restlessly.”"
32,貿易,ぼうえき,boueki,"Noun, Suru verb",trade,jlpt_n4,"海運は長い歴史を持つ産業である。いつの時代でも、海外との貿易では、重い貨物は

Shipping is an industry with a long history. It has always been the case that heavy cargoes are always transported by ship when trading with foreign countries.","によって供給量が変動する。

The supply of agricultural products fluctuates in response to the weather.","が増えた。

Japan once produced around 90% of its beef supply, but trade negotiations between Japan and the U.S. over beef led to a subsequent increase in the percentage of imported beef."
33,部長,ぶちょう,buchou,Noun,"manager; head (chief, director) of a section or department",jlpt_n4,"権力争いが繰り広げられている。

In my workplace, there is an ugly, cut-throat power struggle over who gets to be the department head.","の目標について話し始めた。

The division manager opened the meeting by pointing out the details of last month’s sales slump, took a breath, and then began talking about the new goal for this month that we should aim for.","人だとわかった。

When I first met the division head, I thought he looked kind of scary with a frown, but after talking to him, I discovered him to be a friendly person."
34,ぶどう,,budou,Noun,grapes,jlpt_n4,"のことである。

In martial arts such as judo, ukemi refers to a method or technique of skillful falling to avoid injury when thrown.","の高い大学の出身であるとは限らない。

People who started their own companies do not necessarily come from what are recognized as top-tier universities with high standards of scores in scholastic tests.","きた。

With the goal of becoming the best vineyard resort in the country, we, the staff, have been meticulously tending each bunch of grapes and making wine through a process of trial and error."
35,文学,ぶんがく,bungaku,Noun,literature,jlpt_n4,"の名前が挙がっている。

For this year’s literary award, the youngest new author in its history has been nominated.","の大学院生が集まり、日本近代文学研究会を作った。会員は現在

Graduate students from nearby areas got together to establish the Society for the Study of Modern Japanese Literature. The group currently has 20 members and holds monthly study sessions.","した。

I spent a year reading the complete series of world literature in the library."
36,文化,ぶんか,bunka,Noun,culture,jlpt_n4,"として、国の重要文化財に指定されている。

The Marunouchi Station Building of Tokyo Station, built in 1914, is of great historical value and is designated as a National Important Cultural Property.","いいチャンスである。

Studying abroad at a young age is a good opportunity to gain exposure to a wide range of diverse values in a different culture.","見るのではなく、知って理解しようとすることが大切だ。

It is important to try to be aware and understand cultures and values that are different from our own, rather than looking at them condescendingly."
37,文法,ぶんぽう,bunpou,Noun,grammar,jlpt_n4,"の紹介で知り合った。

My husband and I met through a mutual friend.","とする学習者にとってはありがたい。

It is helpful if a Japanese-language study-aid book includes English, Chinese, and Korean translations of grammar explanations, at least for learners whose native languages are any of these.","文法や会話などいろいろな語学授業を受講しているので、新学期はそれぞれのクラスでまず自己紹介をすることから始まる。

Students take a variety of language classes, including grammar and conversation; the new semester begins with self-introductions in each class."
38,ちゃん,,chan,Suffix,suffix for familiar female person,jlpt_n4,"生まれてくる赤ちゃんの幸せを考えて姓名判断で名前を決めた。

We decided on the name of the coming baby based on onomancy, or divination from names, wishing for her happiness.","赤ちゃんが泣いている。

A baby is crying. I wonder if she is hungry.","に赤ちゃんが生まれる予定なので、出産祝いにベビー服をプレゼントしようと思う。

My older sister and her husband are expecting a baby next month, so I’m thinking of giving them some baby clothes as a celebration present."
39,チェック,,chekku,"Noun, Suru verb, Katakana",to check,jlpt_n4,"最新のニュースをチェックしている。

I use a news app to check the latest news every morning.","会議の議事録を作成し、上司に内容のチェックを依頼した。

I took the minutes of the meeting and asked my supervisor to check the content.","、電話番号などを記入することになっている。

When checking in at a hotel, the guest is required to fill out a registration card with his or her name, address, and telephone number."
40,血,ち,chi,Noun,blood,jlpt_n4,"検査を受けたが、結果は「異常なし」だった。

I underwent a thorough examination because of my poor blood test values, but the results were “normal.”","、腰が痛くなったりする。

Poor blood flow can lead to stiff shoulders and back pain.","らしく、子どものひざから血が流れている。

The child seems to have fallen and is bleeding from his knee."
41,力,ちから,chikara,Noun,energy; force; strength; might; power,jlpt_n4,"は法案の提出を断念した。

Unable to resist public pressure to withdraw the bill, the ruling party abandoned it.","した。

While still in college, my brother started his own business during his junior year.","を失ってしまうものである。

People lose the will to live when their efforts are not fairly evaluated no matter how hard they try."
42,地理,ちり,chiri,Noun,geography,jlpt_n4,"の名前を覚えた。スリランカの

In geography class, we memorized capital city names from countries around the world. The capital of Sri Lanka had a long name and was difficult to remember.","祖父は京都に年以上も住んでいるので京都の地理に明るい

My grandfather has lived in Kyoto for over 50 years, so he knows his way about.","私はの地理に精通している

I am at home with the geography of Higashikakogawa."
43,中学校,ちゅうがっこう,chuugakkou,Noun,junior high school; middle school,jlpt_n4,"で教育活動を支援するボランティアの募集を始めた。

The city has begun recruiting volunteers with teaching experience or teaching licenses to assist with educational activities at elementary and junior high schools in the city.","大災害備えて合同行った

In preparation for a major disaster, the police and fire departments conducted a joint drill.","の高校に進むことにした。

My daughter attended a local public school through elementary and junior high school, but aiming for the school of medicine, she decided to go to a private senior high school known for its strong college preparatory guidance."
44,注意,ちゅうい,chuui,"Noun, Suru verb",caution,jlpt_n4,"の注意にもかかわらず、祖父は飲酒をやめようとしなかった。

Despite repeated warnings from his doctor, my grandfather refused to stop drinking.","が直らない。

No matter how many times I reproached my son, he never got over the habit of biting his nails.","川は想像以上に流れが速く、深いので、注意が必要だ。

The river flows faster and deeper than one might imagine, so caution is advised."
45,注射,ちゅうしゃ,chuusha,"Noun, Suru verb",injection,jlpt_n4,"手術の前に彼は注射をされた

He had an injection prior to the operation.","私は注射器を見るまでは平気だった

I was calm until I saw the syringe!","私は使い古した注射器を安全に捨てるために缶の中に入れました

I put the used syringes in a can for safe disposal."
46,駐車場,ちゅうしゃじょう,chuushajou,Noun,parking lot,jlpt_n4,"の(交付+こうふ)を受ければ、専用の駐車場を利用できる。

If you need ample space to get in and out of a car because, for instance, you use a wheelchair, you can obtain a permit that allows you to use designated parking spaces.","の接触事故があった。

There was an accident between a car and a pedestrian in a supermarket parking lot. It was caused by carelessness on the driver’s part.","女子学寮には非常に小さい駐車場があった先生と学生の幾人かと学生のボーイフレンドの多くが車を持っていて駐車する場所をみつけるのがしばしば難しかった

The women's college had a very small car park, and as several of the teachers and students, and many of the student's boyfriends, had cars, it was often difficult to find a place to park."
47,大分,だいぶ,daibu,Adverb,considerably; greatly; a lot​,jlpt_n4,"この大分類には金融業又は保険業を営む事業所が分類される

Into this broad category fall companies that run money lending and insurance businesses.","輸入規制は最近だいぶ緩められた

Import regulations have been relaxed recently.","予定です。

She's going to Ooita."
48,大学生,だいがくせい,daigakusei,Noun,university student; college student,jlpt_n4,"のサークルに所属し、趣味の活動を楽しんだ。

As a college student, I joined two clubs, a tennis club and a music club, where I enjoyed my hobbies.","なことは決めていない。

I would like to start something new when I become a college student, but I haven’t decided on anything specific.","ため、家庭教師紹介サイトの会員に登録し、家庭教師のアルバイトを始めた。

In order to earn some extra money, my older brother, who is a college student, registered as a member of a tutoring referral website and began working part-time as a tutor."
49,大事,だいじ,daiji,"Adjective, な-adjective",important; serious; crucial,jlpt_n4,"に携帯電話が鳴ってしまった。

My cell phone rang in the middle of an important meeting because I forgot to set it to silent mode.","である。

My great-grandfather on my mother’s side was an entrepreneur who started a large business and made a fortune in his own lifetime.","しまった。

During class, I fell asleep and missed the important parts of the lesson."
50,大体,だいたい,daitai,Noun,roughly,jlpt_n4,"父はだいたいいつも七時に帰ってくる

My father usually comes home at seven.","・・・。

Anyhow, just why is it that I have to be sent out in the middle of the night to buy a canned drink?","彼女はだいたい私と同じ年頃だ

She is about my age."
51,暖房,だんぼう,danbou,"Noun, Suru verb",heating,jlpt_n4,"を暖めている。

Because we do not have underfloor heating in our living room, which has a boarded wooden floor, we use an electric carpet to warm our feet during the winter.","くる。

In winter the subway is well-heated during the commute, so if I wear a thick coat, I get a little sweaty just by standing inside the train.","暖房と同様に冷房時の消費電力量を測定し旧型と省エネ型年製のエアコンを比較しました

We measured the electricity used during air cooling in the same way as heating, and compared the old model air conditioner to the energy conservation (2001) model."
52,男性,だんせい,dansei,Noun,man; male,jlpt_n4,"」という言葉もあるように、料理が得意な男性も増えてきた。

In the old days, it was said that “men should not enter the kitchen,” but recently, as the phrase “cooking men” suggests, a growing number of men are excellent cooks.","も大きい。

The fact that women are less likely to develop cancer or experience myocardial infarction and have a longer life span than men is merely a generalization. In reality, large individual differences exist.","を演出する女性のことだ。

The azatoi (calculating) girls that are the talk of the town these days are women who intentionally try to make a “cute impression” in a scheming manner, such as raising the tone of their voice or glancing upwards in front of a man."
53,できるだけ,,dekiru,"Adverb, Expression",as much as possible,jlpt_n4,"を起こさないようにしている。

I am usually an irritable person, but at work I try to keep my temper under control as much as possible.","を使わないように、浮いて救助を待つのがよいとされる。

If you fall into a river or the sea, it is better to stay afloat and wait for rescue so that you can preserve as much physical strength as possible.","した。

Although I had stayed in Beijing only for four days, I visited as many museums as possible and fully enjoyed the Chinese art."
54,電報,でんぽう,denpou,Noun,telegram,jlpt_n4,"両親からすぐに帰れと電報が来た

My parents telegraphed me to come back at once.","彼女は来ると電報を打ってきた

She cabled us that she was coming.","彼女はすぐいくと電報を打った

She wired she was coming soon."
55,電灯,でんとう,dentou,Noun,electric light,jlpt_n4,"寝る前に電灯を消してください

Please turn off the light before you go to bed.","部屋を出るときは電灯を消して下さい

Please put the light out when you leave the room.","部屋を出るときは電灯をつけっぱなしにしないようにね

Do not leave the lights on when you leave the room."
56,どんどん,,dondon,Adverb,rapidly; more and more,jlpt_n4,"船はどんどん川を下って入った

The boat was rolling down the river.","先生はどんどん話しつづけた

The teacher talked on and on.","世界の人口はどんどん増えているので年以内に今の倍になってしまうだろう

The population of the world is increasing so rapidly that it will be doubled within forty years."
57,泥棒,どろぼう,dorobou,Noun,thief,jlpt_n4,"家留守数時間間入られた

Within just a few hours of my being away from my home, a burglar broke into my house.","ようになる。小さな

As the saying goes, “Telling a lie is taking the first step to being a thief.” When people think little of small lies, they will easily become involved in serious wrongdoing. Therefore, one should not take small lies lightly.","を突き止めることができなかった。

A nearby supermarket was burgled late at night, but since no security cameras were installed, the perpetrators could not be traced."
58,動物園,どうぶつえん,doubutsuen,Noun,zoo; zoological gardens,jlpt_n4,"の動物園が多い。

Many zoos offer free admission to elementary school students or visitors younger than 6 years of age.","先週の日曜日に私の家族はパンダを見に動物園に行った

My family went to the zoo to see pandas last Sunday.","女の子は動物園に連れていってくれとせがんだ

The girl insisted on being taken to the zoo."
59,道具,どうぐ,dougu,Noun,tool,jlpt_n4,"をすることがある。

In the hospital, a child’s blood may be drawn using a device that secures the arm to prevent it from moving during blood sampling.","する。これは、道具だけでなく

In the tea ceremony, we practice the ritual of purifying utensils. This is said to cleanse not only the utensils but also the minds of those performing the ritual.","には、道具を使わないトレーニング、ダンベルやバーベルを使うトレーニング、マシンを使うトレーニングなどがある。

Strength training methods include training without equipment, training with dumbbells and barbells, and training with machines."
60,枝,えだ,eda,Noun,branch,jlpt_n4,"がとまり、「チ、チ、チ」とさえずっている。

A small bird perched on a twig of a tree in the garden is chirping “chi-chi-chi.”","をかけ、ブランコを作ってくれた。

When I was a child, my father hung a rope from the branches of a large tree in our yard and made a swing for me.","だ。

For bonsai (a dwarfed potted plant), I prefer the bunjin style, which has a slender, spindly trunk with branches and leaves on its crown."
61,遠慮,えんりょ,enryo,"Noun, Suru verb",reserve; refraining,jlpt_n4,"走行中の箱乗りはご遠慮下さい

Please don't lean out of the window when we're moving.","ご遠慮なくお使いください

Be my guest.","分からない時は遠慮なく御質問下さい

Don't hesitate to ask questions if you don't understand."
62,選ぶ,えらぶ,erabu,"Verb, Godan verb, Transitive verb",to choose,jlpt_n4,"に利用されることも多い。

Although items sold in a department store are generally higher in price, they are perceived to be of higher quality and as a result are often selected for gifts.","、留学制度が整っている大学を選んで受験した。

With the anticipation of studying abroad while still in college, I selected a university with a study abroad program and took the entrance exam.","40年間勤め上げた

My father ended his career as a schoolteacher after 40 years."
63,エスカレーター,,esukareetaa,"Noun, Katakana",escalator,jlpt_n4,"に位置していることがわかる。

If you look at the map, you will see that this town is located just around the entrance to the peninsula.","には便利だ。

The entrance to the department store is up the escalator right outside the subway ticket gates, making it convenient for shoppers.","で駆け上がった。

I ran up the station stairs as fast as I could, as there was a long line of passengers standing on the escalator."
64,ファックス,,fakkusu,"Noun, Suru verb, Katakana",fax,jlpt_n4,"貴社からの４月１日付のファックスに対しての私どもの返事は以下の通りです

Here is our answer to your fax message dated April 1st.","この手紙を日本までファックスしてください

I'd like to fax this to Japan.","申込書をファックスで送ってくれませんか

Please fax me the application form."
65,不便,ふべん,fuben,"Noun, Adjective, な-adjective",inconvenience,jlpt_n4,"閉店とさせていただきます。ご不便をおかけしますが、なにとぞご理解

Owing to the declaration concerning the state of emergency, our store will be closed at 8:00 p.m. for the time being. We apologize for any inconvenience this may cause and ask for your understanding and cooperation.","になることが決まった。

One of the railroad lines was closed down in a depopulated region. I heard that local residents have voiced their concern about the inconvenience this change may bring to their daily lives. I think their concern is reasonable.","夜会服は仕事をするには不便だ

It is inconvenient to work in evening clothes."
66,増える,ふえる,fueru,"Verb, Ichidan verb, Intransitive verb",to increase,jlpt_n4,"をする企業が増えた。

The economic downturn has caused more companies to lay off workers in order to reduce labor costs.","」という言葉もあるように、料理が得意な男性も増えてきた。

In the old days, it was said that “men should not enter the kitchen,” but recently, as the phrase “cooking men” suggests, a growing number of men are excellent cooks.","いない。

Due to the increase in online meetings, I haven’t been on that many business trips to the actual locations lately."
67,深い,ふかい,fukai,"Adjective, い-adjective",deep,jlpt_n4,"のか、どうしたら成長することができるのかを理解することができる。

By looking inside ourselves and understanding ourselves more deeply, we can understand what we are lacking and how we can grow.","いる。

A thousand origami cranes, sent to the blast center, have been folded with the earnest wish for peace.","川は想像以上に流れが速く、深いので、注意が必要だ。

The river flows faster and deeper than one might imagine, so caution is advised."
68,復習,ふくしゅう,fukushuu,"Noun, Verb, Suru verb",review (of learned material); revision,jlpt_n4,"先生は生徒たちに、教科書をよく読んで予習・復習するようにと指導している。

The teachers instruct students to read the textbooks carefully and to prepare and review them.","の問題集を使えば、習う順番や内容が教科書と同じなので、わかりやすい。

If you want to review in line with the content of school lessons, you can use an exercise book based onthe textbook, which is easy to understand because the order and  content of the material match those of the textbook.","が毎週あるだけでなく、第二外国語のクラスにしても予習・復習しなければ落ちこぼれてしまう。

On top of having chemistry lab reports due every week, if I don’t prepare and review, I will fail my second language class. As a first-year college student, no matter how I slice it, I just cannot seem to find enough time to study, so I have no choice but to cut back on my sleep every night."
