japanese_expression,english_meaning,grammar_structure,labels,example_1,example_2,example_3,example_4,example_5
がほしい(ga hoshii),to want something,"Meaning 意味 to want something
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Noun + が ほしい 欲しい Related Kanji 漢字 N3 Kanji: 欲 (yoku, hoshii) Meaning: longing, greed, passion",jlpt_n5,"もっとお金が欲しいです。
motto okane ga hoshii desu.
I want more money.","彼女がほしい。
kanojo ga hoshii.
I want a girlfriend.","お金がたくさんほしい。
okane ga takusan hoshii.
I want a lot of money.","何人子どもがほしいですか？
nan nin kodomo ga hoshii desu ka?
How many children do you want to have?","新しいGoProカメラが欲しいです！
atarashii gopuro kamera ga hoshii desu!
I want the new GoPro camera!"
がいます(ga imasu),there is; to be; is (living things),"Meaning 意味 there is; to be; is (living things)
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Noun がいる / がいます がいた / がいました がいない / がいません がいなかった / がいませんでした Related Kanji 漢字 N3 Kanji: 居 (kyo, ko, iru, oru) Meaning: reside, to be, exist",jlpt_n5,"テーブルの下に猫がいる。
teeburu no shita ni neko ga iru.
There is a cat below the table.","あなたは彼氏がいるの？
anata wa kareshi ga iru no?
Do you have a boyfriend?","私には兄弟がいないんだ。
watashi ni wa kyoudai ga inai nda.
I don't have any siblings.","弟一人妹一人がいます。
otouto hitori imouto hitori ga imasu.
I have one younger brother and one younger sister.","その部屋に犬がいる。
sono heya ni inu ga iru.
There is a dog in that room."
ほうがいい(hou ga ii),had better; it'd be better to; should ~,"Meaning 意味 had better; it'd be better to; should ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb 方がいい ほうがいい Related Kanji 漢字 N4 Kanji: 方 (hou, kata) direction, person",jlpt_n5,"疲れたら、早く寝たほうがいい。
tsukaretara, hayaku neta hou ga ii.
If you're tired, it's better to go to bed early.","暑い日には、水をたくさん飲んだ方がいい。
atsui hi ni wa, mizu o takusan nonda hou ga ii.
It's best to drink a lot of water on hot days.","寝る前に、スマホを使わない方がいい。
neru mae ni, sumaho o tsukawanai hou ga ii.
Before going to bed, it's best to not use your smartphone.","毎日日本語を練習した方がいいですよ。
mainichi nihongo o renshuu shita hou ga ii desu yo.
You should practice Japanese every day.","分からないとき、先生に聞いた方がいいですよ。
wakaranai toki, sensei ni kiita hou ga ii desu yo.
When you don't understand, you're best off asking your teacher."
い-adjectives(i-adjectives),i-adjectives,"Meaning 意味 i-adjectives
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 present い
present negative くない くありません past かった
past negative くなかった くありませんでした",jlpt_n5,,,,,
一番(ichiban),the most; the best,"Meaning 意味 the most; the best
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 [A] + が/は + いちばん いちばん + [A] Related Kanji 漢字 N5 Kanji: 一 (ichi, hito) one N3 Kanji: 番 (ban) turn, number",jlpt_n5,"彼がいちばん働いた。
kare ga ichiban hataraita.
He worked the hardest.","秋が一番好きな季節です。
aki ga ichiban suki na kisetsu desu.
Fall is my favorite season.","私はブロッコリーが一番嫌いだ。
watashi wa burokkorii ga ichiban kirai da.
I hate broccoli the most.","午前中が一番調子がいい。
gozen chuu ga ichiban choushi ga ii.
I feel best in the morning.","一番前に座っている人は誰ですか？
ichiban mae ni suwatteiru hito wa dare desu ka?
Who is that sitting in the very front?"
一緒に(issho ni),together,"Meaning 意味 together
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese adverbs
How to use 使い方 often preceded with と Related Kanji 漢字 N5 Kanji: 一 (ichi, hito) one N3 Kanji: 緒 (sho, o) Meaning: beginning, end, cord, strap",jlpt_n5,"一緒に日本語を勉強しましょう。
isshoni nihongo o benkyou shimashou.
Let's study Japanese together.","今夜、カラオケに一緒に行こう。
konya, karaoke ni isshoni ikou.
Let's go to karaoke together tonight.","ずっと彼と一緒にいたい。
zutto kare to issho ni itai.
I want to be together with him forever.","明日の朝、一緒にジムに行きませんか？
ashita no asa, issho ni jimu ni ikimasen ka?
Do you want to go to the gym together tomorrow morning?","今朝、友だちと一緒に図書館に行きました。
kesa, tomodachi to issho ni toshokan ni ikimashita.
I went to the library together with my friend this morning."
いつも(itsumo),always; usually; habitually,"Meaning 意味 always; usually; habitually
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese adverbs
How to use 使い方 Can be used mid-sentence and also to start a new sentence",jlpt_n5,"彼はいつも元気ですね。
kare wa itsumo genki desu ne.
He is always energetic.","妹はいつも寝ている。
imouto wa itsumo neteiru.
My younger sister is always sleeping.","いつも夜10時に寝ます。
itsumo yoru juuji ni nemasu.
I always go to bed at 10 o'clock.","昼ご飯はいつも納豆を食べます。
hirugohan wa itsumo nattou o tabemasu.
I always have natto (fermented soybeans) for lunch.","仕事に行く前にいつもジムに行きます。
shigoto ni iku mae ni itsumo jimu ni ikimasu.
I always go to the gym before going to work."
じゃない・ではない(janai / dewa nai),to not be (am not; is not; are not),"Meaning 意味 to not be (am not; is not; are not)
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: negative expressions
How to use 使い方
present negative casual じゃない ではない polite じゃありません ではありません
past negative casual じゃなかった ではなかった polite じゃありませんでした ではありませんでした",jlpt_n5,"あなたは一人じゃない。
anata wa hitori janai.
You are not alone.","危険じゃないの？
kiken janai no?
Isn't it dangerous?","そんなつもりじゃなかった。
sonna tsumori ja nakatta.
That wasn't my plan/intention.","ごめんなさい！わざとではありませんでした。
gomennasai! wazato dewa arimasen deshita.
I'm so sorry! It wasn't intentional.","肉はあまり好きじゃないです。
niku wa amari suki janai desu.
I don't really like meat."
か(ka),question particle,"Meaning 意味 question particle
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 end of sentence か",jlpt_n5,"何ですか？
nan desu ka?
What?","すみません、あなたも学生ですか。
sumimasen, anata mo gakusei desu ka.
Excuse me, are you also a student?","あなたの名前は何ですか。
anata no namae wa nandesu ka.
What is your name?","元気ですか。
genki desu ka.
How are you?","彼は何才ですか。
kare wa nansai desu ka.
How old is he?"
か～か(ka~ka),or,"Meaning 意味 or
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Verb か Noun な-adjective い-adjective",jlpt_n5,"明日は雨かどうか分からない。
ashita wa ame ka dou ka wakaranai.
I'm not sure if it will rain or not tomorrow.","お茶かコーヒーが飲みたい。
ocha ka koohii ga nomitai.
I would like to drink tea or coffee.","当たるかはずれるか。
ataru ka hazureru ka.
Hit or miss.","やるかやらないか早く決めてください。
yaru ka yaranai ka hayaku kimete kudasai.
Please hurry up and decide if you are going to do it or not.","来週の月曜日か火曜日に京都に行きます。
raishuu no getsuyoubi ka kayoubi ni kyouto ni ikimasu.
I'm going to Kyoto next Monday or Tuesday."
から(kara),because; since; from,"Meaning 意味 because; since; from
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 meaning 1: because; since Verb から Noun + だ な-adjective + だ い-adjective + い meaning 2: from; since Noun から",jlpt_n5,"天気がいいから、外に行きたい。
tenki ga ii kara, soto ni ikitai.
Since the weather is nice, I want to go outside.","私はすぐ戻るから、ここでちょっと待ってください。
watashi wa sugu modoru kara, koko de chotto matte kudasai.
I'll return shortly, so please wait here just a moment.","これからもよろしくお願いします。
kore kara mo yoroshiku onegaishimasu.
From now on, let's have a good relationship (I'll be counting on you).","ここからあの駅まで歩いてどれぐらいかかりますか？
koko kara ano eki made aruite dore gurai kakarimasuka?
How long does it take to walk from here to that station?","お店は何時から何時まで開いていますか？
omise wa nanji kara nanji made aiteimasu ka?
What are the shop's opening hours?"
方(kata),the way of doing something; how to do ~,"Meaning 意味 the way of doing something; how to do ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: suffix
How to use 使い方 Verb ます (stem form) 方 かた Related Kanji 漢字 N4 Kanji: 方 (hou, kata) direction, person",jlpt_n5,"パソコンの使いかたがわかりません。
pasokon no tsukai kata ga wakarimasen.
I don't know how to use a computer.","ケーキの作り方を知っていますか？
keeki no tsukuri kata o shitteimasu ka?
Do you know how to make a cake?","おはしの使い方が上手ですね。
ohashi no tsukai kata ga jouzu desu ne.
You're very good at using chopsticks (you will be told this all the time in Japan)","あの先生の教え方はとてもわかりやすいです。
ano sensei no oshie kata wa totemo wakari yasui desu.
That teacher's way of teaching is very easy to understand","彼の生き方は、かっこいいです。
kare no iki kata wa, kakkoii desu.
His way of living is really cool."
けど(kedo),but; however; although ~,"Meaning 意味 but; however; although ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Use between 2 contradicting ideas",jlpt_n5,"仕事は辛いけど楽しい。
shigoto wa tsurai kedo tanoshii.
Work is tough, but fun.","金はないけど夢はある。
kane wa nai kedo yume wa aru.
I don't have money, but I have dreams.","スポーツは上手じゃないけど、好きです。
supootsu wa jouzu janai kedo, suki desu.
I'm not good at sports, but I like them.","悪いけど、明日のパーティーに行けません。
warui kedo, ashita no paatii ni ikemasen.
Sorry, but I can't make it to tomorrow's party.","眠いけど、まだ宿題があるから寝られません。
nemui kedo, mada shukudai ga aru kara neraremasen.
I'm sleepy, but I still have homework to do so I can't go to sleep yet."
けれども(keredo mo),but; however; although ~,"Meaning 意味 but; however; although ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Use between 2 contradicting ideas",jlpt_n5,"外はさむいけれど、家の中は暖かいです。
soto wa samui keredo, ie no naka wa atatakai desu.
It’s cold outside, but inside the house it is warm.","彼は若いけれども経験がある。
kare wa wakai keredo mo keiken ga aru.
Although he is young he has experience.","眠いけれど、まだ宿題があるから寝られません。
nemui keredo, mada shukudai ga aru kara neraremasen.
I'm sleepy but still have homework to do so I can't go to bed yet.","このカメラは高かったけれど、すぐ壊れてしまいました。
kono kamera wa takakatta keredo, sugu kowarete shimaimashita.
This camera was really expensive, but it broke right away.","雪が降っているけれども、スーパーに行きます。
yuki ga futteiru keredo mo, suupaa ni ikimasu.
Although it is snowing outside, I'm going to the grocery store."
まだ(mada),still; not yet,"Meaning 意味 still; not yet
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese adverbs
How to use 使い方 まだ Verb (ている) Verb (ていない) Noun",jlpt_n5,"まだですか？
mada desu ka?
Is it ready yet? / are we there yet? / Still...?","まだまだ暑いだ。
mada mada atsui da.
It's still hot out. (mada can be used twice in a row for extra emphasis)","先生はまだ来ていない。
sensei wa mada kiteinai.
Our teacher still hasn't come.","もう10時ですが弟がまだ寝ている。
mou juuji desu ga otouto ga mada neteiru.
It's already 10 am, but my younger brother is still sleeping.","まだ1時間もあるよ。
mada ichijikan mo aru yo.
We still have one hour."
まだ～ていません(mada ~te imasen),have not yet ~,"Meaning 意味 have not yet ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese adverbs
How to use 使い方 まだ Verb (てない) *spoken Verb (ていない) Verb (ていません)",jlpt_n5,"バスはまだ来ていません。
basu wa mada kiteimasen.
The bus still hasn't come.","まだ、決まっていません。
mada, kimatteimasen.
It hasn't been decided yet.","私はまだ朝ごはんを食べていません。
watashi wa mada asagohan o tabete imasen.
I still haven't eaten breakfast yet.","今週の新しい単語をまだ覚えていません。
konshuu no atarashii tango o mada oboete imasen.
I still haven't memorized this week's new vocabulary.","父はまだ帰ってきていない。
chichi wa mada kaette kiteinai.
My father still hasn't come home yet."
まで(made),until; as far as; to (an extent); even ~,"Meaning 意味 until; as far as; to (an extent); even ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 Noun まで",jlpt_n5,"昨日までお休みでした。
kinou made o yasumi deshita.
I was on vacation until yesterday.","ここからそこまでは遠いですよ。
koko kara soko made wa tooi desu yo.
That's really far from here!","駅まで行きたいんですが、どう行ったらいいですか。
eki made ikitai ndesu ga, dou ittara ii desu ka.
How can I get to the station?","最後までがんばってね！
saigo made ganbatte ne!
Do your best all the way until the end!","家まで車で送ります。
ie made kuruma de okurimasu.
I'll take you home by car."
前に(mae ni),before; in front of ~,"Meaning 意味 before; in front of ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese adverbs
How to use 使い方 Verb (dictionary form) 前に まえに Noun + の Related Kanji 漢字 N5 Kanji: 前 (zen, mae) in front, before",jlpt_n5,"ドアを開ける前にノックぐらいしてください。
doa o akeru mae ni nokku gurai shite kudasai.
Before opening the door, please at least knock first.","コンビニの前にじてんしゃがたくさんあります。
konbini no mae ni jitensha ga takusan arimasu.
There are many bicycles in front of the convenience store.","旅行の前に切符を買っておきます。
ryokou no mae ni kippu o katte okimasu.
I will buy the tickets before the trip.","ご飯の前に手を洗いましょう。
gohan no mae ni te o araimashou.
let's make sure to wash our hands before eating.","テストの前に一生懸命勉強しました。
tesuto no mae ni isshokenmei benkyou shimashita.
I studied like crazy before the test."
ませんか(masen ka),would you; do you want to; shall we ~,"Meaning 意味 would you; do you want to; shall we ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (polite negative) + か ません + か",jlpt_n5,"今日一緒に食べませんか？
kyou isshoni tabemasen ka?
Do you want to eat together today?","うちで映画を見ませんか。
uchi de eiga o mimasen ka.
Do you want to watch a movie at my place?","お茶にしませんか？
ocha ni shimasen ka?
Would you care for some tea?","日曜日にテニスをしませんか。
nichiyoubi ni tenisu o shimasen ka.
Do you want to play tennis on Sunday?","明日自転車で学校へ行きませんか？
ashita jitensha de gakkou e ikimasen ka?
Do you want to go to school tomorrow by bike?"
ましょう(mashou),let's ~; shall we ~,"Meaning 意味 let's ~; shall we ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb ます (stem form) ましょう",jlpt_n5,"行きましょう！
iki mashou!
Let's go!","駅で会いましょう！
eki de ai mashou!
Let's meet at the station!","もうご飯の時間だよ、早く食べましょう！
mou gohan no jikan dayo, hayaku tabe mashou!
It's already dinner time, let's hurry up and eat!","帰る前に教室をきれいにしましょう。
kaeru mae ni kyoushitsu o kirei ni shi mashou.
Before we go home, let's clean up the classroom.","一緒に日本語を勉強しましょう！
isshoni nihongo o benkyou shi mashou!
Let's study Japanese together!"
ましょうか(mashouka),shall I ~; used to offer help to the listener,"Meaning 意味 shall I ~; used to offer help to the listener
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb ます (stem form) ましょうか",jlpt_n5,"マドを開けましょうか。
mado o ake mashouka?
Shall I open the window?","手伝いましょうか。
tetsudai mashouka?
Do you want some help?","荷物を持ちましょうか。
nimotsu o mochi mashouka?
Shall I help carry your luggage?","タクシーを呼びましょうか。
takushii o yobi mashouka?
Shall I call a taxi for you?","私がお皿を洗いましょうか？
watashi ga osara o arai mashouka?
Shall I wash the dishes?"
も(mo),too; also; as well,"Meaning 意味 too; also; as well
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 Noun + も",jlpt_n5,"私もできる。
watashi mo dekiru.
I can do that too.","甘いものも辛いものも好きです。
amai mono mo karai mono mo suki desu.
I like sweets as well as spicy foods.","カラオケにはみんなが来ました。先生も来ました。
karaoke ni wa minna ga kimashita. sensei mo kimashita.
Everyone came to sing karaoke. Our teacher came too.","私は日本語も英語もベトナム語も話せます。
watashi wa nihongo mo eigo mo betonamugo mo hanasemasu.
I can speak English, Japanese, as well as Vietnamese.","あなたもお腹が空いたでしょう？
anata mo onaka ga suita deshou.
You are probably hungry too, aren't you?"
もう(mou),already; anymore; again; other,"Meaning 意味 already; anymore; again; other
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese adverbs
How to use 使い方 See examples below",jlpt_n5,"もう昼ご飯の時間だ。早く食べましょう！
mou hiru gohan no jikan da. hayaku tabe mashou!
It's lunch time already, let's hurry up and eat.","宿題はもう終わった？
shukudai wa mou owatta?
Did you already finish your homework?","ビールもう一杯ください！
biiru mou ippai kudasai!
One more beer please!","飲み物は全部飲みました。もうありません。
nomimono wa zenbu nomimashita. mou arimasen.
We drank all of the drinks. There aren't any left.","もう少し待ってください。
mou sukoshi matte kudasai.
Please wait a little while longer."
な-adjectives(na-adjectives),na-adjectives,"Meaning 意味 na-adjectives
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 present な / だ
present negative じゃない ではない past だった でした
past negative じゃなかった ではありませんでした",jlpt_n5,,,,,
なあ(naa),"sentence ending particle; confirmation; admiration, etc","Meaning 意味 sentence ending particle; confirmation; admiration, etc
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 end of sentence + な(あ)",jlpt_n5,"たくさんの人がいるなあ。
takusan no hito ga iru naa.
Wow, there's a lot of people here.","これ、美味しいなあ。
kore, oishii naa.
This is really delicious.","暑くなってきたなあ。
atsu ku natte kita naa.
It's starting to get hotter.","それは本当かな。
sore wa hontou kana.
I wonder if that's true...","明日は晴れるかなあ。
ashita wa hareru kanaa.
I wonder if the weather will clear up tomorrow..."
ないで(naide),without doing ~; to do [B] without doing [A],"Meaning 意味 without doing ~; to do [B] without doing [A]
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: without
How to use 使い方 Verb-A (ない form) + で Verb-B",jlpt_n5,"コーヒーには、いつもさとうを入れないで飲みます。
koohii ni wa, itsumo satou o irenaide nomimasu.
I always drink coffee without putting any sugar in it.","彼女はカサを持たないで出てしまった。
kanojo wa kasa o mota naide deteshimatta.
She left without bringing an umbrella.","昨日は疲れていて、電気を消さないで寝てしまった。
kinou wa tsukarete ite, denki o kesanaide nete shimatta.
Yesterday I was so tired I fell asleep without turning off the lights.","今朝、朝ごはんを食べないで仕事に来ました。
kesa, asa gohan o tabenaide shigoto ni kimashita.
I came to work today without eating any breakfast.","昨日、お風呂に入らないで寝てしまった。
kinou, ofuro ni haira naide neteshimatta.
I went to bed yesterday without taking a bath/shower."
ないでください(naide kudasai),please don't do ~,"Meaning 意味 please don't do ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (ない form) + で ください",jlpt_n5,"泣かないでください。
nakanaide kudasai
Please don't cry.","このパソコンを使わないでください。
kono pasokon o tsukawanaide kudasai.
Please don't use this computer.","明日の予定を忘れないでください。
ashita no yotei o wasure naide kudasai.
Don't forget about our plans tomorrow!","私のことを心配しないでください。
watashi no koto o shinpai shi naide kudasai.
Please don't worry about me.","道の邪魔をしないでください。
michi no jama o shi naide kudasai
Please don't block the street."
ないといけない(naito ikenai),must do; have an obligation to do ~,"Meaning 意味 must do; have an obligation to do ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (ない form) + と いけない いけません ダメです",jlpt_n5,"そろそろ寝ないといけない。
sorosoro nenaito ikenai.
I have to sleep soon.","私は家に帰らないといけない。
watashi wa ie ni kaeranaito ikenai.
I have to go home.","今から勉強をしないといけない。
ima kara benkyou o shinaito ikenai.
I have to study now.","明日から働かないといけない。
ashita kara hatarakanaito ikenai.
I have to work from tomorrow.","この薬を飲まないといけませんか。
kono kusuri o nomanaito ikemasen ka?
Do I have to take this medicine?"
なくてもいい(naku temo ii),don't have to,"Meaning 意味 don't have to
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (ない form) な い くてもいい",jlpt_n5,"明日は休みだから、学校に行かなくてもいい。
ashita wa yasumi dakara, gakkou ni ikanaku temoii.
Tomorrow is a day off, so I don't need to go to school.","空港まで来なくてもいいよ。
kuukou made konaku temo ii yo.
You don't have to come all the way to the airport.","好きじゃないなら、食べなくてもいいですよ。
suki janai nara, tabenaku temo ii desu yo.
If you don't like it, you don't need to eat it.","来なくてもいいですよ。私一人で行くから。
konaku temo ii desu yo. watashi hitori de iku kara.
You don't need to come. I'll go by myself.","無理しなくてもいいですよ。
muri shinaku temo ii desu yo.
You don't need to push yourself too hard."
なくてはならない(nakute wa naranai),must do; need to do ~,"Meaning 意味 must do; need to do ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (ない form) な い くてはならない くてはなりません",jlpt_n5,"急がなくてはならない。
isoga nakute wa naranai.
I have to hurry.","本当にすぐ行かなくてはならない。
hontouni sugu ika nakute wa naranai.
I really have to go now.","もう10時だ。寝なくてはならない。
mou juu ji da. ne nakute wa naranai.
It's already 10 o'clock. I must go to sleep.","日本語をもっと勉強しなくてはいけない。
nihongo o motto benkyou shi nakute wa naranai.
I really need to study Japanese more.","花の水やりをしなくてはなりません。
hana no mizu yari o shi nakute wa narimasen.
You must water the flowers."
