japanese_expression,english_meaning,grammar_structure,labels,example_1,example_2,example_3,example_4,example_5
どころではない(dokoro dewa nai),not the time for; not the place for; far from; anything but ~,"Meaning 意味 not the time for; not the place for; far from; anything but ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (casual) どころではない どころじゃない Noun",jlpt_n2,"彼はよく間違いをするが、バカどころではない。
kare wa yoku machigai o suru ga, baka dokoro dewa nai.
He often makes mistakes, but he is no fool.","宿題がたくさんあってテレビを見るどころではない。
shukudai ga takusan atte terebi o miru dokoro dewa nai.
There's a bunch of homework to do, this is no time to be watching TV.","風邪がひどくて、遊びに行くどころじゃない。
kaze ga hidokute, asobi ni iku doroko janai.
I have a bad cold and can't even think about going out right now.","彼女はケーキ屋で働いているから、毎年クリスマスは彼氏とデートどころではない。
kanojo wa keekiya de hataraite iru kara, maitoshi kurisumasu wa kanojo to deeto dokoro dewa nai.
She works at a cake shop so every year on Christmas she has no time to go on a date with her boyfriend.","他人の仕事を手伝うどころではありません。自分の仕事も間に合わないんです。
tanin no shigoto o tetsudau dokoro dewa arimasen. jibun no shigoto mo mani awanain desu.
There is no time to be helping other people with their work. You'll end up being late with your own work."
どころか(dokoro ka),far from; anything but; let alone; not to mention; much less ~,"Meaning 意味 far from; anything but; let alone; not to mention; much less ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: ～か , Japanese particles , ところ expressions
How to use 使い方 Verb (casual, non-past) どころか Noun な-adjective + (な) い-adjective",jlpt_n2,"もっと勉強しないと、N2どころかN3も無理だ。
motto benkyou shinaito, N2 dokoro ka N3 mo muri da.
If you do not study more, you will not be able to pass N2, let alone N3.","そんな食べ物、健康になるどころか、病気になっちゃうよ。
sonna tabemono, kenkou ni naru dokoro ka, byouki ni nacchau yo.
That food isn't going to make you healthy, on the contrary it will make you sick.","「夏休みは取れそう？」「忙しくて夏休みどころか日曜日も休めない。」
""Does it look like you can take summer break off?""""I'm so busy I won't be able to take a summer break, much less even a Sunday off.""","医者に出された薬を飲んでいるのに、よくなるどころか、症状はひどくなる一方だよ。
isha ni dasareta kusuri o nondeiru noni, yoku naru dokoro ka, shoujou ga hidoku naru ippou da yo.
Even though I'm taking the medicine my doctor gave me, I am not getting better. On the contrary, my symptoms keep getting worse.","私は彼に役に立つどころか、迷惑もかけた。
watashi wa kare ni yaku ni tatsu dokoro ka, meiwaku mo kaketa.
I was far from being of any help to him. Rather I got in his way."
どうやら(dou yara),possibly; apparently; seems like; somehow; barely ~,"Meaning 意味 possibly; apparently; seems like; somehow; barely ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs
How to use 使い方 どうやら phrase",jlpt_n2,"どうやら明日は雨になりそうだ。
dou yara ashita wa ame ni nari sou da.
Apparently, it's going to rain tomorrow.","どうやら、彼は知らないらしい。
dou yara, kare wa shiranai rashii.
It seems he doesn’t know.","どうやら誤解があるようだ。
dou yara gokai ga aru you da.
There appears to be a misunderstanding.","今晩はどうやら雪が降りそうだ。
konban wa dou yara yuki ga furi sou da.
Apparently, it is going to snow tonight.","どうやら日本の生活になれてきた。
dou yara nihon no seikatsu ni narete kita.
Somehow, I finally started getting used to life in Japan."
得ない(enai),unable to; cannot; it is not possible to ~,"Meaning 意味 unable to; cannot; it is not possible to ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: stem form grammar
How to use 使い方 Verb ます (stem form) 得ない Related Kanji 漢字 N3 Kanji: 得 (toku, eru) gain",jlpt_n2,"あの人が結婚したって本当！？え～！あり得ないよ！
ano hito ga kekkon shitatte hontou! ? e~! ari enai yo!
Is it true that he got married? No way! It's not possible!","あの真面目な彼が犯人？そんなことはあり得ない。
ano majime na kare ga hannin? sonna koto wa ari enai.
You think someone as earnest as him is the culprit? That's unbelievable..","地震がいつ来るかなんて、予測し得ないことだ。
jishin ga itsu kuru ka nante, yosoku shi enai kotoda.
It is unpredictable when an earthquake will occur.","無から有は生じ得ない。
mu kara yuu wa shouji enai.
Nothing can come of nothing.","機械は完全には人力に代わり得ない。
kikai wa kanzen ni wa jinriki ni kawari enai.
Machinery cannot completely take the place of human labor."
得る(eru / uru),can; to be able to; is possible to ~,"Meaning 意味 can; to be able to; is possible to ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb ます (stem form) 得る (える/うる) Related Kanji 漢字 N3 Kanji: 得 (toku, eru) gain",jlpt_n2,"君の話を信じるよ。だってこの世界ではどんなことでも起こり得るから。
kimi no hanashi o shinjiru yo. datte kono sekaide wa donna koto demo okori eru kara.
I believe in your story. I mean, anything is possible in this world.","事故はいつでも起こり得るので、気をつけてください。
jiko wa itsu demo okori eru node, ki o tsukete kudasai.
Accidents can happen at any time, so please be careful!","タバコを吸いすぎや、お酒を飲み過ぎは病気の原因になり得ます。
tabako o sui sugi ya, o sake o nomi sugi wa byouki no genin ni nari emasu.
Excessive smoking and drinking too much alcohol can cause illness.","運動不足は病気の原因になり得るので、できるだけ体を動かすようにしてください。
undou fusoku wa byouki no genin ni nari eru node, dekiru dake karada o ugokasu youni shite kudasai.
Lack of exercise can cause illness, so try to move as much as you can.","この不況では大手企業の倒産もあり得る。
kono fukyou dewa ootekigyou no tousan mo ariuru.
In this recession, it's possible some major companies may go bankrupt."
再び(futatabi),again; once more,"Meaning 意味 again; once more
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs
How to use 使い方 再び ふたたび phrase Related Kanji 漢字 N2 Kanji: 再 (sai, futatabi) again",jlpt_n2,"来週の月曜日からレッスンを再び開始したいですか？
raishuu no getsuyoubi kara ressun o futatabi kaishi shitai desu ka?
Would you like to restart your lessons from next Monday?","今年の旅行は楽しかった。来年の冬再びここに来たい。
kotoshi no ryokou wa tanoshikatta. rainen no fuyu futatabi koko ni kitai.
This year's trip was fun. I want to come here again next winter.","10年後にようやく彼は、再び故郷の町を見た。
10ねんごにようやくかれは、ふたたびこきょうのまちをみた。
10 nengo ni youyaku kare wa, futatabi kokyou no machi o mita.","昨日私は、図書館で１ヶ月前に出会った少女と再び会った。
kinou watashi wa, toshokan de ikkagetsu mae ni deatta shoujo to futatabi atta.
Yesterday I once again met the girl whom I met in the library a month ago.","本当に最悪の男だ。二度と再びあの男とは会いたくない。
hontou ni saiaku no otoko da. nido to futatabi ano otoko to wa aitakunai.
He really is the worst guy... I don't ever want to see him again."
ふうに(fuu ni),this way; that way; in such a way; how,"Meaning 意味 this way; that way; in such a way; how
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 どんな あんな こんな どういう ふうに + Verb Verb (casual)",jlpt_n2,"こんなふうにやりなさい。
konna fuu ni yarinasai.
Please do it like this.","私もあんなふうになりたいです。
watashi mo anna fuu ni naritai desu.
I also want to become that way.","どういうふうに動くか見せてください。
douiu fuu ni ugoku ka misete kudasai.
Please show me how it works.","すみません、これはどんなふうにやればよいでしょうか。
sumimasen, kore wa donna fuu ni yareba yoi deshou ka?
Excuse me, what is the correct way to do this?","勝手にそんなふうにしないでください。教えたどおりにやればいいです。
katte ni sonna fuu ni shinai de kudasai. oshieta doori ni yareba ii desu.
Please don't do it your own way. Do it as you were taught to."
がきっかけで / をきっかけに(ga kikkake de / o kikkake ni),with… as a start; as a result of; taking advantage of ~,"Meaning 意味 with… as a start; as a result of; taking advantage of ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (た form) + の/こと がきっかけで をきっかけに Noun",jlpt_n2,"彼女は病気をきっかけにそのつまらない仕事を辞めた。
kanojo wa byouki o kikkake ni sono tsumaranai shigoto o yameta.
She used her illness to quit that boring job.","昨年の事故をきっかけとして、安全対策が強化された。
sakunen no jiko o kikkake toshite, anzentaisaku ga kyouka sareta.
As a result of last year's accident, safety measures have been strengthened.","子供が生まれたのをきっかけとして、タバコを辞めた。
kodomo ga umareta no o kikkake to shite, tabako o yameta.
As a result of my child being born, I quit smoking.","パソコンを買ってもらったことがきっかけで、プログラミングの勉強を始めました。
pasokon o katte moratta koto ga kikkake de, puroguramingu no benkyou o hajime mashita.
Taking advantage of the computer I received, I began studying programming.","失恋をきっかけに、海外に出て仕事をしようと決心した。
shitsuren o kikkake ni, kaigai ni dete shigoto o shiyou to kesshin shita.
After experiencing heartbreak, I decided to move and work abroad."
げ(ge),looks like; seems like; appears to ~,"Meaning 意味 looks like; seems like; appears to ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 な-adjective な げ い-adjective + い Irregular: いい/よい => よさ Verb ます (stem form) Verb た い (tai form) Noun (very limited)",jlpt_n2,"何か、言いたげだね。
nanika, iita ge da ne.
They look like they want to say something.","あの人は寂しげな目をしている。
ano hito wa sabishige na me o shiteiru.
That person has a lonely look in their eyes","彼は眠たげな声でおはようと言った。
kare wa nemuta ge na koe de ohayou to itta.
He said good morning with a sleepy voice.","ずいぶん、自信ありげだね。
zuibun, jishin ari ge da ne.
You seem very confident.","一人暮らしのために家を出る日、母は少し寂しげだった。
hitori gurashi no tame ni ie o deru hi, haha wa sukoshi sabishi ge datta.
My mother looked a little sad on the day I moved out to live by myself."
逆に(gyaku ni),conversely; on the contrary ~,"Meaning 意味 conversely; on the contrary ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs
How to use 使い方 逆に phrase Related Kanji 漢字 N2 Kanji: 逆 (gyaku, sakarau) Meaning: inverted; reverse; opposite",jlpt_n2,"娘はスポーツが好きだが、逆に息子はスポーツが嫌いだ。
musume wa supootsu ga suki da ga, gyaku ni musuko wa supootsu ga kirai da.
My daughter likes sports, but on the other hand my son hates them.","天気予報と逆に、雨が降り続いている。
tenki yohou to gyaku ni, ame ga furitsuzuite iru.
It’s been raining nonstop in contrast to the weather forecast.","彼はゲームが大好きだが、逆に弟さんは嫌いだ。
kare wa geemu ga daisuki daga, gyaku ni otouto san wa kirai da.
He loves to play games, but contrarily his younger brother dislikes them.","逆に、嫌いな日本の料理はなんですか？
gyaku ni, kirai na nihon no ryouri wa nan desu ka?
On the other hand, what is a Japanese food that you hate?","私達の期待とは逆に、今年の売り上げは増えなかった。
watashitachi no kitai to wa gyaku ni, kotoshi no uriage wa fuenakatta.
Contrary to our expectations, sales did not increase this year."
反面(hanmen),"while, although; on the other hand~","Meaning 意味 while, although; on the other hand~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs
How to use 使い方 Verb (casual, non-past) 反面 Noun + である な-adjective + な/である い-adjective Phrase 1 + その反面 + Phrase 2 Related Kanji 漢字 N3 Kanji: 反 (han, hon, tan, ho, soru, kaesu) Meaning: anti- N3 Kanji: 面 (men, omo, omote, tsura) Meaning: mask, face, features, surface",jlpt_n2,"この部屋は日当たりがいい反面、夏はかなり暑いです。
kono heya wa hiatari ga ii hanmen, natsu wa kanari atsui desu.
This room has great light exposure, but on the other hand it is very hot in the summer.","子供の成長は嬉しい反面、どこか寂しい。
kodomo no seichou wa ureshii hanmen, dokoka sabishii.
I'm happy to see my children grow, but on the other hand I am a little bit sad.","彼氏ができたら、楽しい反面、一人の時間がすくなくなりました。
kareshi ga dekitara, tanoshii hanmen, hitori no jikan ga sukunaku narimashita.
I'm happy to have a boyfriend, but on the other hand my time for myself has considerably dropped.","一人暮らしは楽しい反面、一緒に話す相手がいないので寂しいこともあります。
hitori gurashi wa tanoshii hanmen, issho ni hanasu aite ga inai node sabishii koto mo arimasu.
Living alone is enjoyable, but on the other hand it can sometimes be a little lonely not having someone to talk to.","子供にとって、インターネットは便利な反面、悪い影響を与えることもあります。
kodomo ni totte, intaanetto wa benri na hanmen, warui eikyou o ataeru koto mo arimasu.
For children, on one hand the inernet is very convenient, but there are also some negative effects as well."
果たして(hatashite),as was expected; sure enough; really; actually ~,"Meaning 意味 as was expected; sure enough; really; actually ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs
How to use 使い方 果たして phrase Related Kanji 漢字 N3 Kanji: 果 (ka, hatasu) fruit",jlpt_n2,"果たしてそうだろうか。
hatashite sou darou ka.
Can it really be so?","果たして本当に足音が聞こえたのかどうかはわからない。
hatashite hontou ni ashioto ga kikoeta no ka dou ka wa wakaranai.
I don’t know for sure if I really heard the footsteps or not.","そのうわさは果たして本当だろうか。
sono uwasa wa hatashite hontou darou ka.
Can that rumor really be true?","私があの店にいるとき、彼らがそこにやってきたのは果たして偶然だろうか？
watashi ga ano mise ni iru toki, karera ga soko ni yatte kita no wa hatashite guuzen darou ka.
Was it really a coincidence that they came to the store while I was there?","この程度の金額で、果たして彼が承知するだろうか。
kono teido no kingaku de, hatashite kare ga shouchi suru darou ka.
Surely he will agree to this amount of money."
一応(ichiou),more or less; pretty much; roughly; tentatively ~,"Meaning 意味 more or less; pretty much; roughly; tentatively ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs
How to use 使い方 一応 phrase Related Kanji 漢字 N5 Kanji: 一 (ichi, hito) one N1 Kanji: 応 (ou, kotaeru) Meaning: apply, answer, yes, OK, reply, accept",jlpt_n2,"一応やりました。
ichiou yarimashita.
I did it (but it may still need some work).","一応やってみます。
ichiou yatte miru.
(I may not be able to do it well, but) I will give it a shot.","一応、付き合っている人がいるんだ。
ichiou, tsukiatteiru hito ga iru nda.
I am sort of seeing someone..","彼はもう寝たかもしれないけど、一応電話してみようかな。
kare wa mou neta kamoshirenai kedo, ichiou denwa shite miyou kana.
He may already be asleep, but I guess I should try to give him a call..","一応、明日までに返事をくれる？
ichiou, ashita made ni henji o kureru.
Can you at least give me an answer by tomorrow?"
以上に(ijou ni),more than; not less than; beyond ~,"Meaning 意味 more than; not less than; beyond ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs
How to use 使い方 Verb (casual) 以上に Noun な-adjective 以上の Noun Related Kanji 漢字 N4 Kanji: 以 (i) compared with N5 Kanji: 上 (ue, kami, jou) above, up",jlpt_n2,"今まで以上に仕事を頑張ります。
ima made ijou ni shigoto o ganbarimasu.
I will work even harder at work than I have until now.","必要以上にたくさんのお金を使わないでください。
hitsuyou ijou ni takusan no okane o tsukawanaide kudasai.
Please don’t use more money than you need.","私が予想していた以上に彼の様態はよくなかった。
watashi wa yosou shite ita ijou ni kare no youtai wa yokunakatta.
His condition was worse than I had expected.","今以上に日本語ができるようになりたいです。
ima ijou ni nihongo ga dekiru youni naritai desu.
I want to get even better at Japanese than I am now.","私たちが泊まったホテルは、予想以上に豪華だった。
watashi tachi ga tomatta hoteru wa, yosou ijou ni gouka datta.
The hotel that we stayed in was even more extravagant than we had imagined."
以上は(ijou wa),because; since; seeing that ~,"Meaning 意味 because; since; seeing that ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (casual) 以上（は） Noun + である な-adjective + である Related Kanji 漢字 N4 Kanji: 以 (i) compared with N5 Kanji: 上 (ue, kami, jou) above, up",jlpt_n2,"約束した以上、きちんと守ってくださいね。
yakusoku shita ijou, kichinto mamotte kudasai ne.
You've made a promise, so be sure to keep it!","学生である以上、アルバイトではなく勉強が大事ですよ。
gakusei de aru ijou, arubaito dewa naku benkyou ga daiji desu yo.
Because you are a student, your studies are more important than your part-time job.","給料がこんなに安い以上は、転職を考える人がいるのも当然だ。
kyuuryou ga konna ni yasui ijou wa, tenshoku o kangaeru hito ga iru no mo touzen da.
With such low salaries, it's no wonder there are people who want to change jobs.","お金を払って勉強する以上は、しっかり身につけたい。
okane o haratte benkyou suru ijou wa, shikkari mi ni tsuketai.
Since I am paying money to study, I really want to learn.","一度やると決めた以上は、最後まで責任を持ってやらないと。
ichido yaru to kimeta ijou wa, saigo made sekinin o motte yaranai to.
Once you decide to do something, you must stay responsible until the end."
いきなり(ikinari),abruptly; suddenly; all of a sudden; without warning,"Meaning 意味 abruptly; suddenly; all of a sudden; without warning
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs , without
How to use 使い方 いきなり action",jlpt_n2,"いきなり男の人に道を聞かれた。
ikinari otoko no hito ni michi o kikareta.
A man suddenly asked me for directions.","いきなりあなたにメールを送ってしまい申し訳ありません。
ikinari anata ni meeru o okutte shimai moushiwake arimasen.
I'm sorry for sending you an email suddenly.","彼は彼女の手からいきなりハンドバッグを取った。
kare wa kanojo no te kara ikinari hando baggu o totta.
He suddenly grabbed her purse from her hand.","彼女の兄弟は、いきなり結婚式に現れた。
kanojo no kyoudai wa, ikinari kekkonshiki ni arawareta.
Her siblings showed up at the wedding out of the blue.","今日は会社に来るとき、私の前でタクシーがいきなり止まってびっくりした。
kyou wa kaisha ni kuru toki, watashi no mae de takushii ga ikinari tomatte bikkuri shita.
Today on my way to work, I was surprised by a taxi suddenly stopping right in front of me."
