rank,word,reading_kana,reading_romaji,part_of_speech,meaning,labels,example_1,example_2,example_3
33,外交,がいこう,gaikou,Noun,diplomacy,jlpt_n3,"今日は外出しない。
kyou wa gaishutsu shinai.
I won't go out today.","外出先で雨に降られた。
gaishutsu saki de ame ni furareta.
I got caught in the rain while out.","外出する時は鍵をかけて。
gaishutsu suru toki wa kagi o kakete.
Lock the door when you go out."
34,外出,がいしゅつ,gaishutsu,"Noun, Verb, Suru verb","going out; outing; leaving (one's home, office, etc.)",jlpt_n3,"新学期が始まった。
shin gakki ga hajimatta.
The new term has started.","今学期の成績は良かった。
kon gakki no seiseki wa yokatta.
My grades were good this term.","学期末に試験がある。
gakki matsu ni shiken ga aru.
There are exams at the end of the term."
35,学期,がっき,gakki,Noun,school term; semester,jlpt_n3,"経済学を専攻している。
keizaigaku o senkou shite iru.
I'm majoring in economics.","日本文学が好きだ。
nihon bungaku ga suki da.
I like Japanese literature.","工学の博士号を取った。
kougaku no hakasegou o totta.
I got a doctorate in engineering."
36,学,がく,gaku,"Noun, Suffix",learning; education; study of,jlpt_n3,"学問には終わりがない。
gakumon ni wa owari ga nai.
There is no end to learning.","学問の自由を守る。
gakumon no jiyuu o mamoru.
Protect academic freedom.","本気で学問に打ち込む。
honki de gakumon ni uchikomu.
Devote oneself seriously to study."
37,学問,がくもん,gakumon,"Noun, Verb, Suru verb",scholarship; study; learning,jlpt_n3,"彼は有名な学者だ。
kare wa yuumei na gakusha da.
He is a famous scholar.","学者の意見を聞く。
gakusha no iken o kiku.
Listen to the opinions of scholars.","学者として研究を続ける。
gakusha toshite kenkyuu o tsuzukeru.
Continue research as a scholar."
38,学者,がくしゃ,gakusha,Noun,scholar,jlpt_n3,"毎日英語を学習している。
mainichi eigo o gakushuu shite iru.
I study English every day.","学習意欲が高い。
gakushuu iyoku ga takai.
He has a strong desire to learn.","オンラインで学習する。
onrain de gakushuu suru.
Study online."
39,学習,がくしゅう,gakushuu,"Noun, Verb, Suru verb",study; learning; tutorial,jlpt_n3,"会議の議長を務める。
kaigi no gichou o tsutomeru.
Serve as chair of the meeting.","議長が発言を求めた。
gichou ga hatsugen o motometa.
The chair called for comments.","議長に選ばれた。
gichou ni erabareta.
I was elected chairperson."
40,議長,ぎちょう,gichou,Noun,chairman; president; moderator,jlpt_n3,"議会で法案が可決された。
gikai de houan ga kaketsu sareta.
The bill was passed in parliament.","議会の答弁を聞く。
gikai no touben o kiku.
Listen to the parliamentary response.","来月議会が開かれる。
raigetsu gikai ga hirakareru.
Parliament will convene next month."
41,議会,ぎかい,gikai,Noun,congress; parliament; diet; legislative assembly,jlpt_n3,"語学が得意だ。
gogaku ga tokui da.
I'm good at languages.","語学留学をした。
gogaku ryuugaku o shita.
I studied abroad for language learning.","語学力を伸ばしたい。
gogakuryoku o nobashitai.
I want to improve my language skills."
42,語学,ごがく,gogaku,Noun,study of foreign languages; linguistics,jlpt_n3,"激しい雨が降っている。
hageshii ame ga futte iru.
It's raining heavily.","激しい議論が交わされた。
hageshii giron ga kawasareta.
A heated debate took place.","激しい痛みが走った。
hageshii itami ga hashitta.
A sharp pain shot through."
43,激しい,はげしい,hageshii,"Adjective, い-adjective",violent; extreme; intense,jlpt_n3,"母親に手伝ってもらう。
hahaoya ni tetsudatte morau.
Get help from my mother.","母親の日には感謝を伝える。
hahaoya no hi ni wa kansha o tsutaeru.
Express gratitude on Mother's Day.","母親似の顔だね。
hahaoya ni no kao da ne.
You look like your mother."
44,母親,ははおや,hahaoya,Noun,mother,jlpt_n3,"週末に博物館へ行った。
shuumatsu ni hakubutsukan e itta.
I went to the museum on the weekend.","博物館の入場料はいくらですか。
hakubutsukan no nyuujou ryou wa ikura desu ka.
How much is the museum admission?","歴史博物館で勉強する。
rekishi hakubutsukan de benkyou suru.
Study at the history museum."
45,博物館,はくぶつかん,hakubutsukan,Noun,museum,jlpt_n3,"新商品の販売が始まった。
shin shouhin no hanbai ga hajimatta.
Sales of the new product have started.","ネットで販売している。
netto de hanbai shite iru.
We sell online.","販売員に質問する。
hanbaiin ni shitsumon suru.
Ask the salesperson a question."
46,販売,はんばい,hanbai,"Noun, Verb, Suru verb",sales; selling; marketing,jlpt_n3,"偉大な発明だ。
idai na hatsumei da.
It's a great invention.","エジソンは電球を発明した。
ejison wa denkyuu o hatsumei shita.
Edison invented the light bulb.","発明により生活が便利になった。
hatsumei ni yori seikatsu ga benri ni natta.
Life became more convenient thanks to the invention."
47,発明,はつめい,hatsumei,"Noun, Adjective, な-adjective, Verb, Suru verb",invention,jlpt_n3,"眼鏡を外す。
megane o hazusu.
Take off my glasses.","ボタンが外れた。
botan ga hazureta.
The button came off.","チャンスを外した。
chansu o hazushita.
I missed the chance."
48,外す,はずす,hazusu,"Verb, Godan verb, Transitive verb",to remove; to undo; to drop; to miss,jlpt_n3,"品のある振る舞いをする。
hin no aru furumai o suru.
Behave with elegance.","この品は在庫切れです。
kono hin wa zaiko kire desu.
This item is out of stock.","品揃えが豊富だ。
hinzoroe ga houfu da.
There's a wide variety of goods."
49,品,ひん,hin,Noun,"elegance, article",jlpt_n3,"一言お願いがあります。
hitokoto onegai ga arimasu.
I have one thing to ask.","一言も言わずに帰った。
hitokoto mo iwazu ni kaetta.
He left without saying a word.","一言で言うと難しい。
hitokoto de iu to muzukashii.
It's hard to put in a word."
50,一言,ひとこと,hitokoto,"Noun, Verb, Suru verb",single word; a few words; brief comment,jlpt_n3,"一人一人が責任を持つ。
hitorihitori ga sekinin o motsu.
Each person takes responsibility.","一人一人の意見を聞く。
hitorihitori no iken o kiku.
Listen to each person's opinion.","一人一人違う。
hitorihitori chigau.
Everyone is different."
51,一人一人,ひとりひとり,hitorihitori,"Noun, Suffix",one by one; each; one at a time,jlpt_n3,"本物の革の財布だ。
honmono no kawa no saifu da.
It's a genuine leather wallet.","本物と偽物を見分ける。
honmono to nisemono o miwakeru.
Tell the real from the fake.","本物の芸術品だ。
honmono no geijutsuhin da.
It's a real work of art."
52,本物,ほんもの,honmono,Noun,genuine article; real thing; real deal​,jlpt_n3,"本人に確認する。
honnin ni kakunin suru.
Confirm with the person themselves.","本人が来たら伝えてください。
honnin ga kitara tsutaete kudasai.
Please tell them when the person arrives.","本人の意思を尊重する。
honnin no ishi o sonchou suru.
Respect the person's own wishes."
53,本人,ほんにん,honnin,Noun,the person in question; the person themselves; said person,jlpt_n3,"意見が一致した。
iken ga icchi shita.
We agreed.","二人の証言は一致している。
futari no shougen wa icchi shite iru.
The two testimonies match.","目標で一致する。
mokuhyou de icchi suru.
We're in agreement on the goal."
54,一致,いっち,icchi,"Noun, Verb, Suru verb",agreement; union; match​; coincidence,jlpt_n3,"一時は危なかった。
ichiji wa abunakatta.
For a moment it was dangerous.","一時預かりで頼む。
ichiji azukari de tanomu.
I'd like to leave it temporarily.","一時的に止める。
ichijiteki ni tomeru.
Stop temporarily."
55,一時,いちじ,ichiji,Noun,one o'clock,jlpt_n3,"意外と簡単だった。
igai to kantan datta.
It was surprisingly easy.","意外な結果になった。
igai na kekka ni natta.
It turned out to be an unexpected result.","意外に美味しい。
igai ni oishii.
It's surprisingly delicious."
56,意外,いがい,igai,"Adjective, な-adjective, Adverb",unexpected; surprising,jlpt_n3,"一家で旅行する。
ikka de ryokou suru.
Travel as a family.","一家そろって食事する。
ikka sotte shokuji suru.
The whole family eats together.","一家の大黒柱だ。
ikka no daikokubashira da.
He's the breadwinner of the family."
57,一家,いっか,ikka,Noun,a family; a household; a home; one's family; whole family,jlpt_n3,"今に分かる。
imani wakaru.
You'll understand soon.","今に成功してみせる。
imani seikou shite miseru.
I'll show you I can succeed.","今に後悔するよ。
imani koukai suru yo.
You'll regret it one day."
58,今に,いまに,imani,Adverb,before long; even now,jlpt_n3,"今にも雨が降りそうだ。
imanimo ame ga furi sou da.
It looks like it's going to rain any moment.","今にも壊れそうだ。
imanimo koware sou da.
It looks like it's about to break.","今にも泣き出しそうだった。
imanimo naki dashi sou datta.
She looked like she was about to burst into tears."
59,今にも,いまにも,imanimo,Adverb,at any moment; at any minute; on the verge of,jlpt_n3,"一般の人には分からない。
ippan no hito ni wa wakaranai.
Ordinary people wouldn't understand.","一般公開は来月だ。
ippan koukai wa raigetsu da.
It opens to the public next month.","一般論で言えばそうだ。
ippanron de ieba sou da.
Generally speaking, that's right."
60,一般,いっぱん,ippan,"Noun, Adjective, な-adjective",general; universal; ordinary; average; common,jlpt_n3,"一方、反対意見もある。
ippou, hantai iken mo aru.
On the other hand, there are opposing views.","一方通行の道だ。
ippou tsuukou no michi da.
It's a one-way street.","兄は勉強家、一方弟はスポーツが得意だ。
ani wa benkyouka, ippou otouto wa supootsu ga tokui da.
My brother is studious, while my younger brother is good at sports."
61,一方,いっぽう,ippou,Noun,one (esp. of two); one way; the other direction; although,jlpt_n3,"一生忘れない。
isshou wasurenai.
I'll never forget it.","一生懸命頑張る。
isshoukenmei ganbaru.
I'll do my best.","一生の思い出になった。
isshou no omoide ni natta.
It became a lifelong memory."
62,一生,いっしょう,isshou,Noun,whole life; a lifetime; a generation,jlpt_n3,"一種の才能だ。
isshu no sainou da.
It's a kind of talent.","一種のショックだった。
isshu no shokku datta.
It was a kind of shock.","一種独特の香りがする。
isshu dokutoku no kaori ga suru.
It has a unique kind of fragrance."
63,一種,いっしゅ,isshu,"Noun, Adverb",species; kind; variety,jlpt_n3,"一瞬で消えた。
isshun de kieta.
It disappeared in an instant.","一瞬たりとも油断できない。
isshun taritomo yudan dekinai.
I can't let my guard down for even a moment.","一瞬何が起きたか分からなかった。
isshun nani ga okita ka wakaranakatta.
For a moment I didn't know what had happened."
64,一瞬,いっしゅん,isshun,Noun,instant; moment; for an instant,jlpt_n3,"一層努力する。
issou doryoku suru.
I'll make even more effort.","雨が一層激しくなった。
ame ga issou hageshiku natta.
The rain got even heavier.","一層のご自愛を。
issou no gojiai o.
Please take even better care of yourself."
65,一層,いっそう,issou,"Noun, Adverb",much more; still more; all the more; single layer; sooner; preferably​,jlpt_n3,"一体どうしたんだ。
ittai dou shita n da.
What in the world happened?","一体何があった。
ittai nani ga atta.
What on earth happened?","一体誰がやった。
ittai dare ga yatta.
Who in the world did it?"
66,一体,いったい,ittai,"Noun, Adverb",(what) the heck; (why) in the world,jlpt_n3,"所謂ベストセラーだ。
iwayuru besutoseraa da.
It's what they call a bestseller.","所謂常識というもの。
iwayuru joushiki to iu mono.
What is called common sense.","所謂一流の店だ。
iwayuru ichiryuu no mise da.
It's what you'd call a first-class store."
67,所謂,いわゆる,iwayuru,Pre-noun adjectival,what is called; as it is called; the so-called; so to speak​,jlpt_n3,"邪魔しないで。
jama shinai de.
Don't get in the way.","お邪魔します。
o jama shimasu.
Sorry to bother you. (when entering)","邪魔な物をどける。
jama na mono o dokeru.
Move the obstructing things aside."
68,邪魔,じゃま,jama,"Noun, Adjective, な-adjective, Suru verb",hindrance,jlpt_n3,"化学の授業がある。
kagaku no jugyou ga aru.
I have a chemistry class.","化学反応を観察する。
kagaku hannou o kansatsu suru.
Observe the chemical reaction.","化学が苦手だ。
kagaku ga nigate da.
I'm not good at chemistry."
69,化学,かがく,kagaku,Noun,chemistry,jlpt_n3,"同窓会に出席する。
dousoukai ni shusseki suru.
Attend the alumni meeting.","会を開く。
kai o hiraku.
Hold a meeting.","会のメンバーになる。
kai no menbaa ni naru.
Become a member of the association."
70,会,かい,kai,"Noun, Suffix",meeting; assembly; party; association; club,jlpt_n3,"会員証を提示する。
kaiinshou o teiji suru.
Show my membership card.","会員登録をする。
kaiin touroku o suru.
Register as a member.","会員限定のサービスだ。
kaiin gentei no saabisu da.
It's a members-only service."
71,会員,かいいん,kai'in,Noun,member,jlpt_n3,"海外旅行に行く。
kaigai ryokou ni iku.
Go on an overseas trip.","海外から輸入する。
kaigai kara yunyuu suru.
Import from abroad.","海外のニュースを見る。
kaigai no nyuusu o miru.
Watch overseas news."
72,海外,かいがい,kaigai,"Noun, Adjective",foreign; abroad; overseas,jlpt_n3,"会合に参加する。
kaigou ni sanka suru.
Participate in the meeting.","明日会合がある。
ashita kaigou ga aru.
There's a meeting tomorrow.","会合の日程を決める。
kaigou no nittei o kimeru.
Set the meeting schedule."
73,会合,かいごう,kaigou,"Noun, Verb, Suru verb",meeting; assembly; gathering; association,jlpt_n3,"会計をお願いします。
kaikei o onegai shimasu.
Check, please.","会計係を呼ぶ。
kaikei gakari o yobu.
Call the person in charge of the bill.","会社の会計を担当する。
kaisha no kaikei o tantou suru.
Handle the company's accounts."
74,会計,かいけい,kaikei,Noun,finance; account; treasurer; bill,jlpt_n3,"営業開始は九時だ。
eigyou kaishi wa kuji da.
We open at 9 o'clock.","開始のベルが鳴った。
kaishi no beru ga natta.
The starting bell rang.","会議を開始する。
kaigi o kaishi suru.
Start the meeting."
75,開始,かいし,kaishi,"Noun, Verb, Suru verb",start; commencement; beginning; initiation​,jlpt_n3,"好きな科目は数学だ。
suki na kamoku wa suugaku da.
My favorite subject is math.","必修科目を取る。
hisshuu kamoku o toru.
Take the required courses.","科目選択は来週だ。
kamoku sentaku wa raishuu da.
Course selection is next week."
76,科目,かもく,kamoku,Noun,(school) subject; curriculum; course,jlpt_n3,"権利を主張する。
kenri o shuchou suru.
Assert one's rights.","選挙権は国民の権利だ。
senkyoken wa kokumin no kenri da.
The right to vote is a citizen's right.","権利と義務は表裏一体だ。
kenri to gimu wa hyouri ittai da.
Rights and duties are two sides of the same coin."
77,権利,けんり,kenri,Noun,right; privilege,jlpt_n3,"基本に戻って練習する。
kihon ni modotte renshuu suru.
Go back to basics and practice.","基本が大切だ。
kihon ga taisetsu da.
The basics are important.","基本給はいくらですか。
kihonkyuu wa ikura desu ka.
What's the base salary?"
78,基本,きほん,kihon,Noun,basics; fundamentals; basis; foundation,jlpt_n3,"新聞の記事を読む。
shinbun no kiji o yomu.
Read the newspaper article.","面白い記事を見つけた。
omoshiroi kiji o mitsuketa.
I found an interesting article.","記事の内容を確認する。
kiji no naiyou o kakunin suru.
Check the content of the article."
79,記事,きじ,kiji,Noun,article; news story; report; account,jlpt_n3,"風邪気味だ。
kaze gimi da.
I feel a bit under the weather.","疲れ気味なので早く寝る。
tsukare gimi na node hayaku neru.
I'll go to bed early since I'm feeling tired.","緊張気味の顔をしている。
kinchou gimi no kao o shite iru.
He looks a bit nervous."
80,気味,きみ,kimi,Noun,sensation; feeling​; tendency,jlpt_n3,"卒業記念に写真を撮った。
sotsugyou kinen ni shashin o totta.
Took a photo as a graduation memento.","記念品をいただいた。
kinenhin o itadaita.
I received a commemorative gift.","記念日を祝う。
kinenbi o iwau.
Celebrate the anniversary."
81,記念,きねん,kinen,"Noun, Verb, Suru verb",commemoration; celebration; honoring the memory of something,jlpt_n3,"この店を気に入った。
kono mise o ki ni itta.
I've taken a liking to this store.","気に入った服を買う。
ki ni itta fuku o kau.
Buy clothes I like.","上司に気に入られている。
joushi ni ki ni irareta iru.
I'm in my boss's good graces."
82,気に入る,きにいる,kiniiru,"Verb, Godan verb, Expression",to like; to take a liking to,jlpt_n3,"用紙に記入する。
youshi ni kinyuu suru.
Fill in the form.","記入漏れがないか確認する。
kinyuu more ga nai ka kakunin suru.
Check that nothing was left blank.","名前を記入してください。
namae o kinyuu shite kudasai.
Please write your name."
83,記入,きにゅう,kinyuu,"Noun, Verb, Suru verb",entry; filling in; filling out,jlpt_n3,"記憶が曖昧だ。
kioku ga aimai da.
My memory is vague.","子供の頃の記憶が残っている。
kodomo no koro no kioku ga nokotte iru.
I still have memories from childhood.","記憶力を鍛える。
kiokuryoku o kitaeru.
Train my memory."
84,記憶,きおく,kioku,"Noun, Verb, Suru verb",memory; recollection; remembrance,jlpt_n3,"記者会見が開かれた。
kisha kaiken ga hirakareta.
A press conference was held.","新聞記者になりたい。
shinbun kisha ni naritai.
I want to become a newspaper reporter.","記者が質問を浴びせた。
kisha ga shitsumon o abiseta.
Reporters bombarded with questions."
85,記者,きしゃ,kisha,Noun,reporter; journalist,jlpt_n3,"期待に応えたい。
kitai ni kotaetai.
I want to live up to expectations.","期待を裏切られた。
kitai o uragirareta.
My expectations were betrayed.","期待通りだった。
kitai doori datta.
It was as expected."
86,期待,きたい,kitai,"Noun, Verb, Suru verb",expectation; anticipation; hope,jlpt_n3,"国家の安全を守る。
kokka no anzen o mamoru.
Protect national security.","国家試験に合格した。
kokka shiken ni goukaku shita.
I passed the national exam.","国家間の交渉。
kokkakan no koushou.
Negotiations between nations."
87,国家,こっか,kokka,Noun,state; country; nation,jlpt_n3,"国会で審議されている。
kokkai de shingi sarete iru.
It's being deliberated in the Diet.","国会議員に当選した。
kokkai giin ni tousen shita.
I was elected to the Diet.","国会の閉会中だ。
kokkai no heikaichuu da.
The Diet is in recess."
88,国会,こっかい,kokkai,Noun,National Diet; legislative assembly of Japan; parliament; congress,jlpt_n3,"国境を越える。
kokkyou o koeru.
Cross the border.","国境の町を訪れた。
kokkyou no machi o otozureta.
I visited a border town.","国境問題が起きている。
kokkyou mondai ga okite iru.
There's a border dispute."
89,国境,こっきょう,kokkyou,Noun,national border,jlpt_n3,"国語の授業が好きだ。
kokugo no jugyou ga suki da.
I like Japanese language class.","国語辞典を引く。
kokugo jiten o hiku.
Look it up in the Japanese dictionary.","国語力をつける。
kokugoryoku o tsukeru.
Build Japanese language skills."
