japanese_expression,english_meaning,grammar_structure,labels,example_1,example_2,example_3,example_4,example_5
ではないか(dewa nai ka),right?; isn't it?,"Meaning 意味 right?; isn't it?
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ～か , ～ない
How to use 使い方 phrase ではないか ではありませんか",jlpt_n4,"トムではないか。
tomu dewa nai ka.
Well if it isn't Tom?","何ときれいではないか。
nanto kirei dewa nai ka.
How pretty!","すばらしい天気ではないか。
subarashii tenki dewa nai ka.
What wonderful weather we're having, eh?","明日は雨ではないかと思う。
ashita wa ame dewa nai ka to omou.
I think it will rain tomorrow.","彼は病気ではないかと思う。
kare wa byouki dewa nai ka to omou.
I suspect that he's sick."
がする(ga suru),to smell; hear; taste,"Meaning 意味 to smell; hear; taste
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Noun がする がします がしている",jlpt_n4,"甘い味がする。
amai aji ga suru.
It has a sweet taste.","人の声がする。
hito no koe ga suru.
I can hear someone's voice.","ガスの匂いがする。
gasu no nioi ga suru.
I smell gas.","このクッキーはしょうがの味がする。
kono kukkii wa shouga no aji ga suru.
I can taste ginger in this cookie.","このフルーツはどんな味がする？
kono furuutsu wa donna aji ga suru?
What kind of flavor does this fruit have?"
がる / がっている(garu / gatteiru),"to show signs of; to appear; to feel, to think ~","Meaning 意味 to show signs of; to appear; to feel, to think ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: suffix
How to use 使い方 な-adjective がる がっている がった がらないで い-adjective い",jlpt_n4,"怖がらないでください。
kowa garanai de kudasai.
Please don't feel scared.","彼は死ぬのを怖がっている。
kare wa shinu no o kowa gatteiru.
He is afraid of death.","彼は彼女が欲しがるバッグを買ってあげた。
kare wa kanojo ga hoshi garu baggu o katte ageta.
He bought her the bag she wanted.","彼は負けて残念がっている。
kare wa makete zannen gatteiru.
He appears to be disappointed at his defeat.","恥ずかしがらないで、前に出てきてください。
hazukashi garanai de, mae ni dete kite kudasai.
Please don't feel shy and come up to the front."
始める(hajimeru),to start; to begin to ~,"Meaning 意味 to start; to begin to ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: stem form grammar
How to use 使い方 Verb ます (stem form) はじめる はじめた はじめている Related Kanji 漢字 N4 Kanji: 始 (shi, hajimeru) begin",jlpt_n4,"食べ始める。
tabe hajimeru.
To begin eating.","雨が降り始めた。
ame ga furi hajimeta.
It started to rain.","いつそれをやり始めるの？
itsu sore o yari hajimeru no?
When will you start doing that?","今朝、歯が痛くなり始めた。
kesa, ha ga itaku nari hajimeta.
My tooth started hurting this morning.","私はまだ走り始めていない。
watashi wa mada hashiri hajimete inai.
I still haven't started running."
はずだ(hazu da),it must be; it should be (expectation),"Meaning 意味 it must be; it should be (expectation)
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (dictionary form) はずだ Noun + の な-adjective + な い-adjective",jlpt_n4,"あなたなら分かるはずだ。
anata nara wakaru hazu da.
You should know this.","彼は今学校にいるはずだ。
kare wa ima gakkou ni iru hazu da.
He should be in school right now.","お父さんがそろそろ家に帰るはずだ。
otousan ga sorosoro ie ni kaeru hazu da.
Father should be returning home anytime now.","今日は祝日だから、銀行は休みのはずだ。
kyou wa shukujitsu dakara, ginkou wa yasumi no hazu da.
Today is a national holiday, so surely the banks are closed.","それは明らかなはずだ。
sore wa akirakana hazu da.
That should be obvious."
はずがない(hazu ga nai),cannot be (impossible),"Meaning 意味 cannot be (impossible)
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (dictionary form) はずがない はずがありません Noun + の な-adjective + な い-adjective",jlpt_n4,"そんなはずがない。
sonna hazu ga nai.
That can't be true.","彼女の話は本当のはずがない。
kanojo no hanashi wa hontou no hazu ga nai.
Her story can't be true.","彼はそんなことを言うはずがない。
kare wa sonna koto o iu hazu ga nai.
He would never say such a thing.","ジョンが嘘をついているはずがない。
jon ga uso o tsuiteiru hazu ga nai.
There's no way that John is lying.","そんな大きな量を全部食べられるはずがない。
sonna ookina ryou o zenbu taberareru hazu ga nai.
There's no way you're going to be able to eat all of that."
意向形(ikou kei - volitional form),volitional form​; let's do ~,"Meaning 意味 volitional form​; let's do ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: よう expressions
How to use 使い方 see conjugation rules below...",jlpt_n4,"今日から自転車で出勤しよう。
kyou kara jitensha de shukkin shiyou.
Let's start commuting by bicycle from today!","もう11時だ。早く寝よう。
mou 11 ji da. hayaku neyou.
It's already 11pm, let's hurry and go to sleep.","重たそうだね。手伝おうか。
omota sou da ne. tetsudaou ka?
That looks heavy, shall I give you a hand?","今日は食堂で昼食を食べよう。
kyou wa shokudou de chuushoku o tabeyou.
Let's eat lunch at the dining room today.","図書館で一緒に勉強しよう。
toshokan de issho ni benkyou shiyou.
Let's study together at the library."
いらっしゃる(irassharu),to be; to come; to go (polite version),"Meaning 意味 to be; to come; to go (polite version)
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 いる (changes to) 来る (changes to) 行く (changes to) いらっしゃる Verb (て form) + いらっしゃる",jlpt_n4,"質問のある方はいらっしゃいませんか。
shitsumon no aru kata wa irasshaimasen ka.
Does anyone have any questions?","校長先生は図書館にいらっしゃいます。
kouchou sensei wa toshokan ni irasshaimasu.
The headmaster is in the library.","私たちと一緒にいらっしゃいませんか？
watashitachi to isshoni irasshaimasen ka?
Wouldn't you like to come with us?","先生、何時まで学校にいらっしゃいますか。
sensei, nanji made gakkou ni irasshaimasu ka.
Teacher, until what time will you remain at school?","先生はあなたを信じていらっしゃる。
sensei wa anata o shinjite irassharu.
Our teacher believes in you."
いたします(itashimasu),to do (polite form of する),"Meaning 意味 to do (polite form of する)
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 する (changes to) いたす します (changes to) いたします お/ご + Verb ます (stem) いたします",jlpt_n4,"失礼いたします。
shitsurei itashimasu.
Excuse me.","この仕事は私がいたします。
kono shigoto wa watashi ga itashimasu.
I will do this job.","お席にご案内いたします。
oseki ni goannai itashimasu.
I’ll take you to your seat.","新幹線の予約は私がいたします。
shinkansen no yoyaku wa watashi ga itashimasu.
I’ll book the shinkansen bullet train tickets.","荷物は私が明日にお届けいたします。
nimotsu wa watashi ga ashita ni otodoke itashimasu.
I’ll send the luggage tomorrow."
じゃないか(janai ka),right? isn't it? let's~; confirmation,"Meaning 意味 right? isn't it? let's~; confirmation
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ～か , ～ない
How to use 使い方 phrase じゃないか",jlpt_n4,"行こうじゃないか。
ikou janai ka.
Let's go, shall we?","ダメじゃないか。
dame janai ka.
You should know that's no good / you can't do that.","だから言ったじゃないか！
dakara itta janai ka!
I told you so! (didn't I?)","今夜外食しようじゃないか。
konya gaishoku shiyou janai ka.
Let's go out for dinner tonight, shall we?","今日は元気そうじゃないか。
kyou wa genki sou janai ka.
Well aren't you looking quite energetic today?"
かどうか(ka dou ka),whether or not ~,"Meaning 意味 whether or not ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ～か , Japanese adverbs
How to use 使い方 Verb (casual form) かどうか Noun な-adjective い-adjective",jlpt_n4,"明日晴れるかどうか知らない。
ashita hareru ka dou ka shiranai.
I don't know if the weather will be clear or not tomorrow.","それが正しいかどうかわからない。
sore ga tadashii ka dou ka wakaranai.
I'm not sure if that is correct or not.","行くかどうか後で電話で知らせます。
iku ka douka atode denwa de shirasemasu.
Whether or not I go, I'll let you know later by phone.","おいしいかどうか食べないとわからない。
oishii ka douka tabenai to wakaranai.
We won't know if it's good or not until we eat it.","名前を書いたかどうか、もう一度チェックしてください。
namae o kaita ka douka, mou ichido chekku shite kudasai.
Please check again whether or not you wrote the name."
かしら(ka shira),I wonder (feminine),"Meaning 意味 I wonder (feminine)
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ～か , feminine Japanese , Japanese particles
How to use 使い方 phrase かしら",jlpt_n4,"本当かしら。
hontou ka shira.
I wonder if that's true.","どこへ行ったかしら。
doko e itta ka shira.
I wonder where they could have gone?","誰かしら。
dare ka shira.
I wonder who that is.","彼は本気かしら。
kare wa honki ka shira.
I wonder if he is serious.","明日は雨かしら。
ashita wa ame ka shira.
I wonder if it will rain tomorrow."
かい(kai),turns a sentence into a yes/no question,"Meaning 意味 turns a sentence into a yes/no question
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ～か , Japanese particles
How to use 使い方 Sentence かい",jlpt_n4,"歩けるかい？
arukeru kai?
Can you walk?","コーヒーいるかい？
koohii iru kai?
Do you want a coffee?","一緒にくるかい。
isshoni kuru kai.
Do you want to come along?","まだ終わってないのかい？
mada owatte nai no kai.
Aren’t you finished yet?","話してくれるかい？いったい何があったんだ？
hanashite kureru kai? ittai nani ga attan da?
Will you tell me the story? What happened?"
かもしれない(kamo shirenai),might; perhaps; indicates possibility,"Meaning 意味 might; perhaps; indicates possibility
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ～ない
How to use 使い方 Verb (casual form) かも かもしれない かもしれません Noun な-adjective い-adjective",jlpt_n4,"難しいかも。
muzukashii kamo.
This might be a bit difficult.","そうかもしれない。
sou kamo shirenai.
That may be the case.","病気かもしれない。
byouki kamo shirenai.
I might be sick...","午後から雨が降るかもしれない。
gogo kara ame ga furu kamo shirenai.
It might start raining in the afternoon.","来週、台風が来るかもしれない。
konshuu, taifuu ga kuru kamo shirenai.
A typhoon is possibly coming this week."
かな(kana),I wonder; should I?,"Meaning 意味 I wonder; should I?
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ～か , Japanese particles
How to use 使い方 Verb (casual form) かな Noun な-adjective い-adjective",jlpt_n4,"彼女は元気かな。
kanojo wa genki kana.
I wonder if she's doing well.","雨が降るかな。
ame ga furu kana.
I wonder if it's going to rain.","外は寒いかな。
soto wa samui kana.
I wonder if it's cold outside.","もう食べていいかな。
mou tabete ii kana.
I wonder if it's OK to start eating.","一緒に映画を見るのはどうかな？
isshoni eiga o miru no wa dou kana?
What do you think about going to see a movie together?"
から作る(kara tsukuru),made from; made with,"Meaning 意味 made from; made with
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: から expressions
How to use 使い方 Noun + から 作る 作られる (passive form) 作られている Noun + で Related Kanji 漢字 N4 Kanji: 作 (saku, tsukuru) make",jlpt_n4,"ワインはブドウから作る。
wain wa budou kara tsukuru.
Wine is made from grapes.","紙は木から作られる。
kami wa ki kara tsukurareru.
Paper is made from wood.","酒は米で作る。
sake wa kome de tsukuru.
Sake (Japanese alcohol) is made from rice.","このつくえは木で作られています。
kono tsukue wa ki de tsukurarete imasu.
This desk was made from wood.","チーズは牛乳から作られますか？
chiizu wa gyuunyuu kara tsukurare masu ka?
Can you make cheese from milk?"
きっと(kitto),surely; undoubtedly; almost certainly; most likely,"Meaning 意味 surely; undoubtedly; almost certainly; most likely
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese adverbs
How to use 使い方 きっと event action",jlpt_n4,"明日はきっと雨でしょう。
ashita wa kitto ame deshou.
It will likely rain tomorrow.","彼女はきっと来るよ。
kanojo wa kitto kuru yo.
I am certain she will come.","がんばって勉強したから、きっと明日のテストは大丈夫だよ。
ganbatte benkyou shita kara, kitto ashita no tesuto wa daijoubu da yo.
You studied really hard, so I'm sure tomorrow's test will be fine!","明日は、きっと晴れるでしょう。
ashita wa, kitto hareru deshou.
It will most likely be sunny tomorrow.","彼は私の親友だから、きっと私を助けてくれる。
kare wa watashi no shinyuu da kara, kitto watashi o tasukete kureru.
He's my best friend, so I'm positive he will help me."
頃(koro / goro),around; about; when,"Meaning 意味 around; about; when
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Noun (time) ごろ (around; about) Verb (casual) ころ (when) Noun + の Adjective Related Kanji 漢字 N1 Kanji: 頃 (kei, kyou, koro, goro, shibara(ku)) Meaning: time, about, toward",jlpt_n4,"夜の8時ごろ、うちに来てもらえるか？
yoru no hachiji goro, uchi ni kite moraeru ka？
Can you come by my place around eight p.m.?","私はこのころとても忙しいのです。
watashi wa kono koro totemo isogashii no desu.
I am very busy these days.","私は若いころ初めての一人旅をしました。
watashi wa wakai koro hajimete no hitori tabi o shimashita.
I traveled alone for the first time when I was young.","じゃ、僕は9時半ごろ迎えに来ればいいですね。
ja, boku wa kujihan goro mukae ni kureba ii desu ne.
OK, I’ll pick you up round about nine thirty. Is that right?","あなたは子供のころ、いじめにあったことはある？
anata wa kodomo no koro, ijime ni atta koto wa aru.
Did you ever experience bullying when you were a child?"
こと(koto),Verb nominalizer,"Meaning 意味 Verb nominalizer
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: こと expressions
How to use 使い方 Verb (casual, non-past) こと",jlpt_n4,"本を読むことが好きです。
hon o yomu koto ga suki desu.
I like to read books.","私は料理を作ることが下手です。
watashi wa ryouri o tsukuru koto ga heta desu.
I am bad at cooking food.","私はゲームをすることが大好きです。
watashi wa geemu o suru koto ga daisuki desu.
I love playing games.","私には考えることがたくさんある。
watashi ni wa kangaeru koto ga takusan aru.
There are many things that we think about.","私の趣味は料理を作ることです。
watashi no shumi wa ryouri o tsukuru koto desu.
My hobby is cooking."
ことがある(koto ga aru),there are times when,"Meaning 意味 there are times when
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: こと expressions
How to use 使い方 Verb (casual, non-past) ことがある こともある ことがあります こともあります",jlpt_n4,"たまに彼女と一緒にテニスをしに行くことがある。
tamani kanojo to isshoni tenisu o shini iku koto ga aru.
Sometimes I go to play tennis with my girlfriend.","たまに自転車で通勤することがある。
tamani jitensha de tsuukin suru koto ga aru.
Sometimes I commute to work by bicycle.","私は会議中でも、寝てしまうことがある。
watashi wa kaigichuu demo, nete shimau koto ga aru.
Sometimes I fall asleep during meetings.","時々仕事をやめたいと思うことがある。
tokidoki shigoto o yametai to omou koto ga aru.
There are times when I feel like quitting my job.","私の地元は6月でも寒いことがある。
watashi no jimoto wa roku gatsu demo samui koto ga aru.
In my hometown there are times where it is cold even in June."
ことができる(koto ga dekiru),can; able to,"Meaning 意味 can; able to
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: こと expressions
How to use 使い方 Verb (dictionary form) ことができる ことができない ことができます ことができません",jlpt_n4,"私は日本語を話すことができる。
watashi wa nihongo o hanasu koto ga dekiru.
I can speak Japanese.","彼女は歌うことができる。
kanojo wa utau koto ga dekiru.
She can sing.","このナイフはどんなものでも切ることができるよ。
kono naifu wa donna mono demo kiru koto ga dekiru yo.
This knife can cut through anything.","何も言うことができない。
nani mo iu koto ga dekinai.
I can't say anything.","私は嘘をつくことができない。
watashi wa uso o tsuku koto ga dekinai.
I'm not able to tell a lie."
ことになる(koto ni naru),It has been decided that..; it turns out that..,"Meaning 意味 It has been decided that..; it turns out that..
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: こと expressions
How to use 使い方 Verb (dictionary form) Verb (ない form) ことになる",jlpt_n4,"入学式は4月1日に行うことになりました。
nyuugakushiki wa shigatsu tsuitachi ni okonau koto ni narimashita.
The entrance ceremony will be held on April 1st.","私の母が入院することになった。
watashi no haha ga nyuuin suru koto ni natta.
My mother has been hospitalized.","大阪に転勤することになりました。
oosaka ni tenkin suru koto ni narimashita.
It's been decided that I'll be transferring to Osaka for work.","どうしてそれを学ぶことになったの？
doushite sore o manabu koto ni natta no?
How did you come to learn that?","両親は離婚ということになった。
ryoushin wa rikon toiu koto ni natta.
My parents ended up deciding to get a divorce."
ことにする(koto ni suru),to decide on,"Meaning 意味 to decide on
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: こと expressions
How to use 使い方 Verb (dictionary form) Verb )ない form) ことにする ことにします ことにしている ことにしています",jlpt_n4,"これから毎日ランニングをすることにする。
kore kara mainichi ranningu o suru koto ni suru.
I've decided to go running every day from now on.","タバコをやめることにした。
tabako o yameru koto ni shita.
I've decided to quit smoking.","春休みに彼女と一緒に台湾に行くことにします。
haruyasumi ni okusan to isshoni taiwan ni iku koto ni shimasu.
I've decided to go to Taiwan with my girlfriend during spring break.","寝る前に食べないことにした。
neru mae ni tabenai koto ni shimashita.
I've decided to stop eating before going to bed.","毎朝、30分ジョギングすることにしています。
maiasa, 30 pun jogingu suru koto ni shite imasu.
I've decided to go jogging every morning for 30 minutes."
くする(ku suru),to make something ~,"Meaning 意味 to make something ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese adverbs
How to use 使い方 い-adjective い くする くします くして",jlpt_n4,"音楽でもっと良くする。
ongaku de motto yoku suru.
Make it better with music.","あと５００円安くしてくれたら、買いますよ。
ato go hyaku en yasuku shite kure tara, kaimasu yo.
I'll buy it if you make it 500 yen cheaper.","彼女は声を大きくした。
kanojo wa koe o ookiku shita.
She raised her voice.","電気をつけて、部屋を明るくしましょう。
denki o tsukete, heya o akaruku shimashou.
Let's turn on the lights and make the room brighter.","部屋が暑いので、エアコンをつけて涼しくします。
heya ga atsui no de, eakon o tsukete suzushiku shimasu.
This room is a bit hot so I'll turn on the air conditioning to make it cooler."
急に(kyuu ni),quickly; immediately; hastily; suddenly; abruptly; unexpectedly ~,"Meaning 意味 quickly; immediately; hastily; suddenly; abruptly; unexpectedly ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese adverbs
How to use 使い方 急に Phrase Related Kanji 漢字 N4 Kanji: 急 (kyuu, isogu) hurry",jlpt_n4,"急に雨が降り始めました。
kyuu ni ame ga furi hajimemashita.
It suddenly started raining.","雨は急にやんだ。
ame wa kyuu ni yanda.
The rain suddenly stopped.","その車は急に曲がった。
sono kuruma wa kyuu ni magatta.
That car made an abrupt turn.","今日は急に涼しくなった。
kyou wa kyuu ni suzushiku natta.
It suddenly got a bit cooler today.","その子は急に泣き出した。
sono ko wa kyuu ni naki dashita.
That child suddenly started crying."
まま(mama),as it is; current state; without changing,"Meaning 意味 as it is; current state; without changing
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: without
How to use 使い方 Noun + の まま Verb (た form) Verb (ない form) な-adjective + な い-adjective",jlpt_n4,"この町は昔のまま変わっていない。
kono machi mukashi no mama kawatteinai.
This town hasn't changed at all.","この野菜は、生のままで食べてもおいしいですよ。
kono yasai wa, nama no mama de tabetemo oishii desu yo.
These vegetables taste good even raw.","どうぞ靴のまま、お入りください。
douzo kutsu no mama, o hairi kudasai.
Please enter with your shoes on.","その格好のままでこのレストランに入れないよ。
sono kakkou no mama de kono resutoran ni hairenai yo.
You can't enter this restaurant with those clothes..","昨夜は、勉強したまま寝てしまった。
sakuya wa, benkyou shita mama nete shimatta.
Last night, I fell asleep while studying."
