japanese_expression,english_meaning,grammar_structure,labels,notes,example_1,example_2,example_3,example_4,example_5
だけでなく(dake de naku),not only… but also ~,"Meaning 意味 not only… but also ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
How to use 使い方 Verb (dictionary form) だけでなく Noun (である) な-adjective + な/である い-adjective",jlpt_n3,,"ここのレストランはどれも安いだけでなく、美味しい。
koko no resutoran wa dore mo yasui dake de naku, oishii.
Not only is everything cheap at this restaurant, it is all delicious.","この公園では、子供だけではなく大人も楽しむことができる。
kono kouen dewa, kodomo dake dewa naku otona mo tanoshimu koto ga dekiru.
This park is enjoyable for not only kids, but for adults as well.","彼女は日本語が上手なだけでなく、英語もペラペラだ。
kanojo wa nihongo ga jouzu na dake de naku, ego mo perapera da.
She is not only good at Japanese, but also fluent in English.","君だけでなく僕も悪かった。
kimi dake de naku boku mo warukatta.
It isn't just you, I am also to blame.","彼は知識だけではなく、経験も豊かである。
kare wa chishiki dake dewa naku, keiken mo yutaka de aru.
Not only does he have knowledge, but he also has an abundance of experience."
だけど(dakedo),but; however; although; regarding ~,"Meaning 意味 but; however; although; regarding ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese conjunctions
How to use 使い方 Verb (casual) + んだ/のだ けど Noun + だ/だった/です Noun + なんだ/なのだ な-adjective + だ/だった な-adjective + なんだ/なのだ い-adjective + い/ い かった い-adjective + いんだ/いのだ",jlpt_n3,,"スキー行きたいんだけど、お金が全然ないよ。
sukii ikitai n dakedo, okane ga zenzen nai yo.
I want to go skiing, but I have no money.","彼女はかわいいんだけど僕のタイプではない。
kanojo wa kawaii n dakedo boku no taipu dewa nai.
She's cute, but not my type.","今週は暇だけど、来週は忙しい。
konshuu wa hima dakedo, raishuu wa isogashii.
I am free this week, but next week I am busy.","彼に電話したんだけど、話し中で通じなかった。
kare ni denwa shita n dakedo, hanashi chuu de tuujinakatta.
I called him, but he was busy and I couldn't get through.","そうだといいんだけど。
sou da to ii n dakedo.
I hope that's true, but..."
だらけ(darake),full of; covered with; a lot of (something undesirable),"Meaning 意味 full of; covered with; a lot of (something undesirable)
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: suffix
How to use 使い方 Noun だらけ",jlpt_n3,,"この公園は、猫だらけだ。
kono kouen wa neko darake da.
There are cats all over this park.","この部屋はゴミだらけだ。
kono heya wa gomi darake da.
This room is completely covered in garbage..","今、不安だらけです。
ima, fuan darake desu.
I'm super nervous right now.","自信があったのに、先週のテストは間違えだらけだった。
jishin ga atta noni, senshuu no tesuto wa machigae darake datta.
I was full of confidence, but my test from last week was full of mistakes.","4年ぶりに歯医者に行ったら、虫歯だらけだった。
4ねんぶりにはいしゃにいったら、むしばだらけだった。
4 nen buri ni haisha ni ittara, mushiba darake datta."
どうしても(doushitemo),no matter what; at any cost; after all ~,"Meaning 意味 no matter what; at any cost; after all ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese adverbs , ても expressions
How to use 使い方 どうしても phrase",jlpt_n3,,"私はどうしても自分の家がほしい。
watashi wa doushitemo jibun no ie ga hoshii.
I really want to have my own house (to the point I'd do anything).","どうしても車が動かなかったので私たちは歩いて行くことにした。
doushitemo kuruma ga ugokana katta no de watashi tachi wa aruite iku koto ni shita.
No matter what we tried the car wouldn't start, so finally we decided to go on foot.","どうしても彼女の電話番号が思い出せない。
doushitemo kanojo no denwa bangou ga omoi dasenai.
I can't for the life of me remember her phone number.","他の問題はできたのだが、この問題だけはどうしても解けない。
hokano mondai wa dekita no daga, kono mondai dake wa doushitemo tokenai.
I was able to do the other problems, but this one I cannot solve no matter how hard I try.","どうしても来られないときは連絡してください。
doushitemo korarenai toki wa renraku shite kudasai.
Please contact me when you are not able to come."
ふりをする(furi o suru),to pretend; to act as if ~,"Meaning 意味 to pretend; to act as if ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
How to use 使い方 Verb (casual) ふりをする Noun + の な-adjective + な い-adjective",jlpt_n3,,"彼は聞こえないふりをした。
kare wa kikoenai furi o shita.
He pretended to not hear.","彼女は宿題をし終わったふりをしてテレビを見ている。
kanojo wa shukudai o shiowatta furi o shite terebi o miteiru.
She pretended that she finished her homework and is watching TV.","分かったふりをしていたが、実はよく分からない。もう一度言ってください。
wakatta furi o shiteita ga, jitsuwa yoku wakaranai. mou ichido itte kudasai.
I gave the impression that I understood, but I really didn't. Could you please say it once again?","彼はいつも人の話を全く聞かないのに、分かっているふりをしている。
kare wa itsumo hito no hanashi o mattaku kikanai noni, wakatteiru furi o shiteiru.
Even though he never listens to anyone's stories, he always acts as if he understands.","知らないふりをしているけど本当は知っているでしょう？
shiranai furi o shiteiru kedo hontou wa shitteiru deshou?
You're just pretending to not know, but really you do. Right?"
ふと(futo),suddenly; accidentally; unexpectedly; unintentionally ~,"Meaning 意味 suddenly; accidentally; unexpectedly; unintentionally ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese adverbs
How to use 使い方 ふと action",jlpt_n3,,"ふと街で彼に会った。
futo machi de kare ni atta.
I met him in the street by chance.","学校に行く途中、ふと今日は母の誕生日だったことを思い出した。
gakkou ni iku tochuu, futo kyou wa haha no tanjoubi datta koto o omoidashita.
On my way to school I suddenly remembered that today was my mother's birthday.","財布がないのにふと気がついた。
saifu ga nai no ni futo ki ga tsuita.
He suddenly realized he had lost his wallet.","私はあの店で珍しいものをふと見つけた。
watashi wa ano mise de mezurashii mono o futo mitsuketa.
I came across a rare item at that store.","素晴らしい考えがふと心に浮かんだ。
subarashii kangae ga futo kokoro ni ukanda.
A brilliant idea just occurred to me."
がち(gachi),tend to; tendency to; frequently; often; to do something easily,"Meaning 意味 tend to; tendency to; frequently; often; to do something easily
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: stem form grammar , suffix
How to use 使い方 Noun がち Verb ます (stem form)",jlpt_n3,,"私は、仕事でミスしがちです。
watashi wa, shigoto de misu shi gachi desu.
I tend to make a lot of mistakes at work.","彼女は、学校をサボりがちです。
kanojo wa, gakkou o sabori gachi desu.
She's always skipping school.","ずっと曇りがちの天気が続いている。
zutto kumori gachi no tenki ga tsuzuiteiru.
The constant cloudy weather keeps continuing.","パソコンの使いすぎで目が疲れがちです。
pasokon no tsukai sugi de me ga tsukare gachi desu.
My eyes tend to get tired from using computers too much.","一人暮らしなので、コンビニ弁当ばかり食べがちだ。
hitorigurashi nano de, konbini bentou bakari tabe gachi da.
I live alone, so I tend to only eat meals from the convenience store."
がたい(gatai),very difficult to; hard to ~,"Meaning 意味 very difficult to; hard to ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: stem form grammar , suffix
How to use 使い方 Verb ます (stem form) がたい",jlpt_n3,,"信じがたいことだが、これは事実だ。
shinji gatai koto daga, kore wa jijitsu da.
This may be hard to believe, but this is the truth.","許しがたいことです。
yurushi gatai koto desu.
This is an unforgivable act.","彼の話は信じがたい内容でした。
kare no hanashi wa shinji gatai naiyou deshita.
His story's contents were impossible to believe.","彼女は美人だから近寄りがたい。
kanojo wa bijin dakara chikayori gatai.
She's so beautiful, It's impossible for me to approach her.","子どもに対する犯罪は許しがたい。
kodomo ni tai suru hanzai wa yurushi gatai.
Crimes against children are unforgivable."
気味(gimi),-like; -looking; -looked; tending to ~,"Meaning 意味 -like; -looking; -looked; tending to ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: stem form grammar , suffix
How to use 使い方 Verb ます (stem form) 気味 ぎみ Noun Related Kanji 漢字 N5 Kanji: 気 (ki) spirit, air N4 Kanji: 味 (mi, aji) taste",jlpt_n3,,"彼は人の名前を忘れ気味である。
kare wa hito no namae o wasure gimi de aru.
He tends to forget people's names.","昨夜、彼は風邪気味だった。
sakuya, kare wa kaze gimi datta.
He had a bit of a cold last night.","風邪気味で、熱っぽいんだ。
kaze gimi de, netsu ppoi nda.
I feel like I'm catching a cold, and I'm a bit feverish.","残業続きで疲れ気味だ。
zangyou tsuzuki de tsukare gimi da.
I'm feeling a bit tired due to continued overtime work.","新入社員は緊張気味の顔をしています。
shinnyuu shain wa kinchou gimi no kao o shiteimasu.
The new employee looks a little bit nervous."
ごとに(goto ni),each; every; at intervals of ~,"Meaning 意味 each; every; at intervals of ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: suffix , こと expressions
How to use 使い方 Verb (dictionary form) ごとに Noun",jlpt_n3,,"バスは１０分ごとに通っている。
basu wa 10 pun goto ni kayotteiru.
The buses run every 10 minutes.","オリンピックは４年ごとに開催される。
orinpikku wa yon nen goto ni kaisai sareru.
The Olympics are held every 4 years.","彼は6か月ごとに新作の小説を出している。
kare wa 6 ka getsu goto ni shinsaku no shousetsu o dashiteiru.
He puts out a new short novel every 6 months.","このフェリーは３０分ごとに通っている。
kono ferii wa 30 pun goto ni kayotteiru.
This ferry runs every 30 minutes.","彼は土曜ごとに恋人に会っている。
kare wa doyou goto ni koibito ni atteiru.
He meets his girlfriend on Saturdays."
ほど(hodo),degree; extent; bounds; upper limit,"Meaning 意味 degree; extent; bounds; upper limit
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese particles
How to use 使い方 Verb (casual, non-past) 程 ほど Noun な-adjective + な い-adjective Related Kanji 漢字 N3 Kanji: 程 (tei, hodo) Meaning: extent, degree",jlpt_n3,,"君ほど美しい人はいません！
kimi hodo utsukushii hito wa imasen.
There is no one that rivals your beauty.","死ぬほどのどがかわいている。
shinu hodo nodo ga kawaiteiru.
I'm so thirsty I could die..","今年ほど雨の降った年はなかった。
kotoshi hodo ame no futta toshi wa nakatta.
It rained more this year than any other year.","年をとるほど体が弱くなる。
toshi o toru hodo karada ga yowaku naru.
My body becomes weaker as I grow older.","ビックリするほど大きい赤ちゃん。
bikkuri suru hodo ookii akachan.
The child was surprisingly large."
ほど～ない(hodo~nai),is not as… as ~,"Meaning 意味 is not as… as ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: ～ない , Japanese particles
How to use 使い方 Noun + ほど Verb (ない form) Adjective (ない form) Related Kanji 漢字 N3 Kanji: 程 (tei, hodo) Meaning: extent, degree",jlpt_n3,,"彼女ほど優しい人はいない。
kanojo hodo yasashii hito wa inai.
There’s no one as kind as her.","英語の文法は日本語ほど難しくありません。
eigo no bunpou wa nihongo hodo muzukashiku arimasen.
English grammar is not as difficult as Japanese grammar.","東京ほど家賃の高いところはない。
toukyou hodo yachin no takai tokoro wa nai.
No city has higher rent than Tokyo.","私ほどあなたのことを大切に思っている人はいないだよ。
watashi hodo anata no koto o taisetsu ni omotte iru hito wa inain da.
No one cares for you as much as I do.","彼ほど頭のいい人はいない。
kare hodo atama no ii hito wa inai.
There is nobody as clever as he is."
いくら～ても(ikura~temo),no matter how ~,"Meaning 意味 no matter how ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese adverbs , Japanese particles , ても expressions
How to use 使い方 いくら Verb (ても form) Noun + でも な-adjective + でも い-adjective + い くても",jlpt_n3,,"お金はいくらあっても困りません。
okane wa ikura attemo komarimasen.
You can never have too much money.","これはいくら安くても、買いたくない。
kore wa ikura yasukutemo, kaitakunai.
No matter how cheap this is, I don't want to buy it.","いくら調べても分からなかったので、先生に聞いた。
ikura shirabetemo wakaranakatta node, sensei ni kiita.
I could not understand no matter how much I studied, so I asked my teacher.","これは必要なので、いくら高くても買います。
kore wa hitsuyou na node, ikura takakutemo kaimasu.
I need it so I’ll buy it now matter how expensive it is.","いくら好きでも、それを伝えなければ始まらない。
ikura suki demo, sore o tsutae nakereba hajimaranai.
No matter how much you may like them, if you don't let them know nothing will ever start."
一方だ(ippou da),more and more; continue to ~,"Meaning 意味 more and more; continue to ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: suffix
How to use 使い方 Verb (dictionary form) 一方だ",jlpt_n3,,"最近、この町の人口は減る一方だ。
saikin, kono machi no jinkou wa heru ippou da.
Recently, this town's population continues to decrease.","日本に来る外国人の数は増える一方だ。
nihon ni kuru gaikokujin no kazu wa fueru ippou da.
The number of foreigners coming to Japan continues to increase.","交通事故は増える一方だ。
koutsuu jiko wa fueru ippou da.
Traffic accidents are continuing to increase.","私は全然勉強していないので、成績は下がる一方だ。
watashi wa zenzen benkyou shite inai node, seiseki wa sagaru ippou da.
I never study and so my grades just keep dropping.","日本の人口はこのままだと減少する一方だと思います。
nihon no jinkou wa kono mama da to genshou suru ippou da to omoimasu.
With Japan's population situation as it is, I think it will just continue to decline."
一体(ittai),emphasis; what on earth; what in the world,"Meaning 意味 emphasis; what on earth; what in the world
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese adverbs
How to use 使い方 一体 いったい question",jlpt_n3,,"一体どこで彼に会ったんだ。
ittai doko de kare ni atta nda.
Where on earth did you meet him?","あなたは一体何をしていますか？
anata wa ittai nani o shite imasu ka?
What exactly are you doing?","あの人は一体何の者だ？
ano hito wa ittai nan no mono da?
Who in the world is that?","彼女は一体どこに住んでいるだろう。
kanojo wa ittai doko ni sunde iru darou.
Where in the world does she live?","一体誰が彼女にそんなことを言ったのか？
ittai dare ga kanojo ni sonna koto o itta no ka?
Who could have said such a thing to her?"
じゃない(janai),maybe; most likely; confirmation of information; express surprise towards listener,"Meaning 意味 maybe; most likely; confirmation of information; express surprise towards listener
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: ～ない
How to use 使い方 Phrase じゃない",jlpt_n3,,"トムさんも来るじゃない？
tomu san mo kuru janai?
Tom will surely come as well?","あそこにいる人って、田中先生じゃない？
asoko ni iru hito tte, tanaka sensei janai?
Isn't that person over there Mr. Tanaka?","やればできるじゃない。
yareba dekiru janai.
I didn't think you had it in you.","彼は今度も来ないんじゃないかな。
kare wa kondo mo konai n janai kana.
I don't think he'll come this time either.","ちょっと！危ないじゃない。
chotto! abunai janai.
Be careful, that's dangerous!"
か何か(ka nani ka),or something ~,"Meaning 意味 or something ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: ～か , Japanese adverbs
How to use 使い方 Noun か何か Related Kanji 漢字 N5 Kanji: 何 (nani) what",jlpt_n3,,"彼は病気か何かだろう。
kare wa byouki ka nani ka darou.
He must be sick or something.","オレンジジュースか何か欲しいな。
orenji juusu ka nani ka hoshii na.
I want some orange juice or something.","私はアイスクリームか何か食べたいです。
watashi wa aisu kuriimu ka nani ka tabetai desu.
I want to eat ice cream or something.","帰りは寒いから上着か何か持っていった方がいいよ 。
kaeri wa samui kara uwagi ka nani ka motte itta hou ga ii yo.
It will be cold when you come back, so you'd best bring a jacket or something.","昼ご飯はサンドイッチか何かを作ってあげましょうか。
hiru gohan wa sandoicchi ka nani ka tsukutte agemashou ka.
I'll fix a sandwich or something for your lunch?"
かける(kakeru),half-; not yet finished; in the middle of~,"Meaning 意味 half-; not yet finished; in the middle of~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: stem form grammar
How to use 使い方 Verb ます (stem form) かける かけの",jlpt_n3,,"お風呂に入りかけたときに電話が鳴った。
ofuro ni hairi kaketa toki ni denwa ga natta.
The phone rang when I was about to get in the bath.","この本はまだ読みかけだ。
kono hon wa mada yomikake da.
I haven’t finished this book yet.","テーブルの上に食べかけのケーキが置いてある。
teeburu no ue ni tabe kake no keeki ga oitearu.
The half-finished cake is put on the table.","彼は何か大事そうなことを言いかけて、やめてしまった。
kare wa nani ka daiji souna koto o ii kakete, yamete shimatta.
He stopped in the middle of saying something that sounded important.","彼女へのラブレターを書いたが、ポストに入れかけて、やっぱりやめた。
kanojo e no raburetaa o kaitaga, posuto ni ire kakete, yappari yameta.
I wrote a love letter for her and was halfway to putting it in the post before I changed my mind."
から〜にかけて(kara~ni kakete),through; from [A] to [B],"Meaning 意味 through; from [A] to [B]
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese particles , から expressions
How to use 使い方 Noun-1 から Noun-2 にかけて",jlpt_n3,,"東京から京都にかけて新幹線で行くのは何時間かかるの？
toukyou kara kyouto ni kakete shinkansen de iku no wa nan jikan kakaru no?
How long does it take to get from Tokyo to Kyoto by bullet train?","午前から夕方にかけて昼寝をした。
gozen kara yuugata ni kakete hirune o shita.
I took a nap from morning until evening.","日本では、大学の入学試験は、普通２月から３月にかけて行われる。
nihon dewa, daigaku no nyuugaku shiken wa, futsuu nigatsu kara sangatsu ni kakete okonawareru.
In Japan, university entrance exam is usually held from February to March.","明日は昼から夕方にかけて雨でしょう。
ashita wa hiru kara yuugata ni kakete ame deshou.
Tomorrow it will rain from noon through late afternoon.","六月から七月にかけて、日本は梅雨のシーズンです。
6 gatsu kara 7gatsu ni kakete, nihon wa tsuyu no shiizun desu.
From June to July is Japan's rainy season."
