rank,kanji,onyomi,kunyomi,meaning,labels,notes,example_1,example_2
62,交,kou コウ,"maji(waru), ma(zeru), ka(wasu) まじ(わる)、 ま(ぜる)、 か(わす)","mingle, mixing, association, coming & going",jlpt_n3,,"最近、外交関係がよくない。
saikin, gaikou kankei ga yokunai.
Lately, diplomatic relations have not been good.","私の父は交番で働いています。
watashi no chichi wa kouban de hataraite imasu.
My father works in a police box."
63,資,shi シ,,"assets, resources, capital, funds, data, be conducive to",jlpt_n3,,,
64,予,"yo, sha ヨ、 シャ",arakaji(me) あらかじ(め),"beforehand, previous, myself, I",jlpt_n3,,,
65,向,kou コウ,"mu(ku), muka(i) む(く)、むか(い)","facing, beyond",jlpt_n3,,,
66,際,sai サイ,kiwa きわ,"occasion, time",jlpt_n3,,,
67,勝,shou ショウ,"ka(tsu), masa(ru) か(つ)、 まさ(る)","victory, win",jlpt_n3,,,
68,面,men メン,"omo, omote, tsura おも、おもて、つら","mask, face, features, surface",jlpt_n3,,,
69,告,koku コク,tsu(geru) つ(げる),"revelation, inform",jlpt_n3,,,
70,反,han ハン,so(ru) そ(る),anti-,jlpt_n3,,,
71,判,han ハン,,"judgement, signature",jlpt_n3,,,
72,認,nin ニン,"mito(meru), shitata(meru) みと(める)、したた(める)","acknowledge, witness, recognize",jlpt_n3,,,
73,参,san サン,mai(ru) まい(る),"going, coming, participate",jlpt_n3,,,
74,利,ri リ,ki(ku) き(く),"profit, advantage, benefit",jlpt_n3,,,
75,組,so ソ,"ku(mu), kumi く(む)、くみ","association, assemble, unite",jlpt_n3,,,
76,信,shin シン,,"faith, truth, trust",jlpt_n3,,"彼女はいつも自分の信念を守る。
kanojo wa itsumo jibun no shinnen o mamoru.
She always keeps her beliefs.","あなたは家族からの信頼を失う。
anata wa kazoku kara no shinrai o ushinau.
You lose the trust of your family."
77,在,zai ザイ,a(ru) あ(る),"exist, outskirts",jlpt_n3,,,
78,件,ken ケン,kudan くだん,"affair, case, matter",jlpt_n3,,,
79,側,soku ソク,"gawa, soba がわ、そば","side, lean, oppose",jlpt_n3,,,
80,任,nin ニン,maka(seru) まか(せる),"responsibility, duty",jlpt_n3,,,
81,引,in イン,hi(ku) ひ(く),"pull, tug, jerk",jlpt_n3,,"私は東京に引っ越すつもりです。
watashi wa toukyou ni hikkosu tsumori desu.
I intend to move to Tokyo.","彼はクラスメートの足を引っ張っている。
kare wa kurasumeeto no ashi o hippatte iru.
He is pulling the leg of his classmates."
82,求,kyuu キュウ,moto(meru) もと(める),"request, want, demand",jlpt_n3,,,
83,所,sho ショ,tokoro ところ,"place, extent",jlpt_n3,,,
84,次,"ji, shi ジ、シ","tsu(gu), tsugi つ(ぐ)、つぎ","next, order",jlpt_n3,,,
85,昨,saku サク,,"yesterday, previous",jlpt_n3,,"昨日は何をしましたか？
kinou wa nani wo shimashita ka?
What did you do yesterday?","昨日から今まで寝ていません。
kinou kara ima made neteimasen.
I haven't slept from yesterday until now."
86,論,ron ロン,agetsura(u) あげつら(う),"argument, discourse",jlpt_n3,,,
87,官,kan カン,,"bureaucrat, the government, organ",jlpt_n3,,,
88,増,zou ゾウ,"ma(su), fu(eru) ま(す)、 ふ(える)","increase, add",jlpt_n3,,,
89,係,kei ケイ,"kaka(ru), kakari かか(る)、かかり","person in charge, connection",jlpt_n3,,"私たちの関係が悪化している。
watashitachi no kankei ga akka shite iru.
Our relationship is getting worse.","私の父は渋谷駅の係員です。
watashi no chichi wa shibuya eki no kakariin desu.
My father is a attendant at Shibuya station."
90,感,kan カン,,"emotion, feeling, sensation",jlpt_n3,,,
91,情,"jou, sei ジョウ、セイ",nasa(ke) なさ(け),"feelings, emotion, passion",jlpt_n3,,,
92,投,tou トウ,na(geru) な(げる),"throw, discard",jlpt_n3,,"私は大金を株に投資した。
watashi wa taikin o kabu ni toushi shita.
I invested a lot of money in stocks.","彼は釣り糸を湖に投げた。
kare wa tsuriito o mizuumi ni nageta.
He threw a fishing line into the lake."
93,示,"ji, shi ジ、シ",shime(su) しめ(す),"show, indicate, display",jlpt_n3,,,
94,変,hen ヘン,ka(waru) か(わる),"unusual, change, strange",jlpt_n3,,,
95,打,da ダ,"u(tsu), bu(tsu) う(つ)、ぶ(つ)","strike, hit, knock",jlpt_n3,,,
96,直,"choku, jiki チョク、 ジキ","tada(chini), su(gu) ただ(ちに)、 す(ぐ)","straightaway, honesty, frankness, fix, repair",jlpt_n3,,"あなたはそれをもう一度見直しなさい。
anata wa sore o mou ichido minaoshi nasai.
Reconsider that once more.","私は怒らないから正直に言ってください。
watashi wa okoranai kara shoujiki ni itte kudasai.
I am not upset so please speak honestly."
97,両,ryou リョウ,,both,jlpt_n3,,"私の友人は両手で書けます。
watashi no yuujin wa ryoute de kakemasu.
My friend can write with both hands.","桜が道路の両側に植えられている。
sakura ga douro no ryougawa ni uerarete iru.
Cherry blossoms are planted on both sides of the road."
98,式,shiki シキ,,"style, ceremony",jlpt_n3,,"彼はそれを小説の形式で表した。
kare wa sore o shousetsu no keishiki de arawashita.
He expressed it in the form of a novel.","私は先月に結婚式を挙げました。
watashi wa sengetsu ni kekkonshiki o agemashita.
I held a wedding ceremony last month."
99,確,kaku カク,tashi(ka) たし(か),"assurance, firm, confirm",jlpt_n3,,,
100,果,ka カ,ha(tasu) は(たす),"fruit, reward, carry out, achieve, complete",jlpt_n3,,,
