japanese_expression,english_meaning,grammar_structure,labels,notes,example_1,example_2,example_3,example_4,example_5
だに / だにしない(dani / dani shinai),even; not even ~,"Meaning 意味 even; not even ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: ～ない , Japanese particles
How to use 使い方 Verb (dicationary) だに だにしない Noun Exception: 夢 -> 夢に",jlpt_n1,,"こんな事故が起きるとは想像だにしなかった。
konna jiko ga okiru to wa souzou dani shinakatta.
I never imagined that such an accident would occur.","この間の彼女の態度は思い出すだに腹が立つ。
kono aida no kanojo no taido wa omoidasu dani hara ga tatsu.
Even just thinking about her attitude the other day still upsets me.","こんな結末になるなんて、誰もが予想だにしなかった。
konna ketsumatsu ni naru nante, dare mo ga yosou dani shinakatta.
No one expected it to end up like this.","宝くじで１億円当たるなんて、夢にだに思わなかったよ。
takarakuji de 1 okuen ataru nante, yume ni dani omowanakatta yo.
I never dreamed that I would win 100 million yen in the lottery.","人間がロボットに仕事を奪われる日が来るなんて、考えるだに恐ろしい。
ningen ga robotto ni shigoto o ubawareru hi ga kuru nante, kangaeru dani osoroshii.
It's scary to think that the day will come when humans will be robbed of their jobs by robots."
であれ / であろうと(de are / de arou to),whoever; whatever; however; even ~,"Meaning 意味 whoever; whatever; however; even ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 Noun であれ であろうと",jlpt_n1,,"若い時はどんな仕事であれ、一生懸命取り組みました。
wakai toki wa donna shigoto de are, isshoukenmei torikumimashita.
When I was young, no matter what the work was I always gave it my best effort.","嘘をつくとは、どんな理由であれ、許されないことだ。
uso o tsuku to wa, donna riyuu de are, yurusarenai koto da.
Whatever the reason, lying is an unforgivable act.","彼女が誰であれ、特別扱いするのはダメでしょう。
kanojo ga dare de are, tokubetsuatsukai suru no wa dame deshou.
Regardless of whoever she may be, preferential treatment is surely not acceptable.","彼の話が真実であろうと無かろうと違いは無い。
kare no hanashi ga shinjitsu de arou to nakarou to chigai wa nai.
It makes no difference whether his story is true or not.","故意であろうとなかろうと人を傷つけたことには変わりはありません。
koi de arou to nakarou to hito o kizutsuketa koto ni wa kawari wa arimasen.
Whatever the intent may be, that doesn't change the fact that someone was hurt."
であれ～であれ(de are~de are),whether [A] or [B],"Meaning 意味 whether [A] or [B]
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 Noun であれ であろうと Noun であれ であろうと",jlpt_n1,,"彼がお金持ちであれ貧乏であれ、私の気持ちが変わることはない。
kare ga okanemochi de are binbou de are, watashi no kimochi ga kawaru koto wa nai.
It doesn't matter whether he is rich or poor, my feelings will not change.","先生であれ学生であれ、規則には従わなければなりません。
sensei de are gakusei de are, kisoku ni wa shitagawa nakereba narimasen.
Whether you are a teacher or a student, everyone must follow the rules.","オクラであれ納豆であれ、ネバネバしたものはとにかく嫌いだ。
okura de are nattou de are, nebaneba shita mono wa tonikaku kirai da.
Whether it be okra or natto, I hate these kinds of sticky foods.","たとえ雨であろうと雪であろうと、明日の試合は予定通り行います。
tatoe ame de arou to yuki de arou to, ashita no shiai wa yotei doori okonaimasu.
Even if it rains or snows, tomorrows match will continue as scheduled.","正社員であろうと、パートであろうと、仕事に対する責任は変わりません。
seishain de arou to, paato de arou to, shigoto ni taisuru sekinin wa kawarimasen.
Whether you are a full-timer or part timer, one's responsibility towards work does not change."
でもあり～でもある(demo ari~demo aru),to also be; both… and ~,"Meaning 意味 to also be; both… and ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun + で もあり Noun + で もある な-adj + で な-adj + で い-adj + い く い-adj + い く",jlpt_n1,,"明日の試合は興奮でもあり、緊張でもある。
ashita no shiai wa koufun demo ari, kinchou demo aru.
I'm both excited and nervous for tomorrow's match.","高校に卒業したら喜ばしくもあり悲しくもある。
koukou ni sotsugyou shitara yorokobashi kumo ari kanashi kumo aru.
Graduating from high school is both happy and sad.","考えすぎてしまうのは、長所でもあり、短所でもある。
kangae sugite shimau nowa, chousho demo ari, tansho demo aru.
Thinking too much is both a strength and a weakness.","彼は教師でもあり小説家でもある。
kare wa kyoushi demo ari shousetsuka demo aru.
He is both a teacher and a novelist.","この本は面白くもあり有益でもある。
kono hon wa omoshiro kumo ari yuueki demo aru.
This book is both interesting and informative."
でも何でもない / くも何ともない(demo nan demo nai / kumo nan tomo nai),not in the least; nothing like that,"Meaning 意味 not in the least; nothing like that
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun でも何でもない な-adjective い-adjective い くも何ともない Related Kanji 漢字 N5 Kanji: 何 (nani) what",jlpt_n1,,"誕生日でもなんでもないのにプレゼントをもらった。
tanjoubi demo nan demo nai no ni purezento o moratta.
I got a present even though it wasn't my birthday or anything like that.","彼の冗談は面白くもなんともない。
kare no joudan wa omoshiroku mo nantomo nai.
His joke is not interesting at all.","彼は僕の親戚でもなんでもない。
kare wa boku no shinseki demo nan demo nai.
I am not related to him at all.","彼のこと、好きでもなんでもないけれど、なぜか気にかかる。
kare no koto, suki demo nan demo nai keredo, naze ka ki ni kakaru.
I don't really like him at all but there is something interesting about him.","今回の結果は不思議でもなんでもないし、当然だと思う。
konkai no kekka wa fushigi demo nan demo nai shi, touzen da to omou.
The result this time is nothing strange and I think was to be expected."
でなくてなんだろう(denakute nan darou),must be; is definitely ~,"Meaning 意味 must be; is definitely ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun でなくてなんだろう",jlpt_n1,,"彼女に対するこの気持ちは、愛でなくてなんだろう。
kanojo ni taisuru kono kimochi wa, ai denakute nan darou.
The feeling of mine for her must be love.","子供のために病気になるまで働くとは、親の愛でなくてなんだろう。
kodomo no tame ni byouki ni naru made hataraku to wa, oya no ai denakute nan darou.
Working to the point of sickness for the sake of one's child is nothing other than parental love.","彼は裁判で無罪を主張しているが、彼のやったことは殺人ででなくてなんだろう。
kare wa saiban de muzai o shuchou shite iru ga, kare no yatta koto wa satsujin denakute nan darou.
He is claiming to be innocent in court, but what he did was clearly murder.","あの政治家のやったことは汚職でなくてなんだろう。
ano seijika no yatta koto wa oshoku denakute nan darou.
What that politician did was definitely corrupt.","友達は飛行機で隣に座った人と結婚したそうだ。これが運命でなくてなんだろう。
tomodachi wa hikouki de tonari ni suwatta hito to kekkon shita sou da. kore ga unmei denakute nan darou.
My friend married the person he was sitting next to on the plane. This must be fate."
ではあるまいか(dewa arumai ka),isn't it; I wonder if it’s not ~,"Meaning 意味 isn't it; I wonder if it’s not ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (casual) + の ではあるまいか Noun + (なの) な-adjective + (なの) い-adjective + の",jlpt_n1,,"この調子なら、今年の売り上げ目標を達成できるのではあるまいか。
kono choushi nara, kotoshi no uriage mokuhyou o tassei dekiru no dewa arumai ka.
If this is the case, I wonder if we can reach our sales target this year.","天気予報で今日は天気が悪いと言っていたが、雨は降らないのではあるまいか。
tenkiyohou de kyou wa tenki ga warui to itte ita ga, ame wa furanai no dewa arumai ka.
The weather forecast said that the weather would be bad today, but I wonder if it's not going to rain.","道がすごい渋滞だね。約束の時間に間に合わないのではあるまいか。
michi ga sugoi juutai da ne. yakusoku no jikan ni ma ni awanai no dewa arumai ka.
The road is very congested. I wonder if we won't make it in time (to the promised time).","100万円宝くじが当たるなんて夢ではあるまいか。
100まんえんあたらくじがあたるなんてゆめではあるまいか。
100 manen takarakuji ga ataru nante yume dewa arumai ka.","上司は僕のチームの意見に反対するのではあるまいか。
joushi wa boku no chiimu no iken ni hantai suru no dewa arumai ka.
I wonder if my boss disagrees with my team's opinion."
ではあるまいし(dewa arumai shi),it’s not like; it isn’t as if ~,"Meaning 意味 it’s not like; it isn’t as if ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun ではあるまいし でもあるまいし じゃあるまいし",jlpt_n1,,"子供ではあるまいし、泣くのはやめなさい。
kodomo dewa arumai shi, naku nowa yamenasai.
Stop crying! You are not a child.","新入社員ではあるまいし、基本的なことは説明する必要ないと思います。
shinnyuu shain dewa arumai shi, kihonteki na koto wa setsumei suru hitsuyou nai to omoimasu.
You're not a new employee, so I don't think I need to explain the basics.","お金持ちじゃあるまいし、そんな高価なものは買えません。
okanemochi ja arumai shi, sonna kouka na mono wa kaemasen.
It's not like I'm rich, so I can't buy such an expensive item.","一生会えなくなるわけじゃあるまいし、そんなに悲しまないでよ。
isshou aenaku naru wake ja arumai shi, sonnani kanashimanaide yo.
It's not like you won't be able to meet for the rest of your life, so don't be so sad.","面接試験は初めてではあるまいし、どうしてそんなに緊張するの？
mensetsu shiken wa hajimete dewa arumai shi, doushite sonna ni kinchou suru no.
It’s not like you are having your first interview, so why are you so nervous?"
では済まない(dewa sumanai),it doesn’t end with just ~; it will take more than ~,"Meaning 意味 it doesn’t end with just ~; it will take more than ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (casual) + (の) ではすまない ではすまされない Noun Related Kanji 漢字 N3 Kanji: 済 (sai, sei, sumu) Meaning: settle, relieve, finish",jlpt_n1,,"このストーリーはただの笑い話では済まされないと思うところがある。
kono sutoorii wa tada no waraibanashi dewa sumasarenai to omou tokoro ga aru.
I don't think this story is just a funny story.","どんな言語を学ぶにしても辞書なしでは済まない。
donna gengo o manabu ni shite mo jisho nashi dewa sumanai.
Whatever language you study, you cannot do without dictionary.","あなたが彼女に言ったことは、冗談では済まされない。
anata ga kanojo ni itta koto wa, joudan dewa sumasarenai.
What you said to her isn’t acceptable as ""just a joke"".","自分にとっては冗談のつもりでも、相手にとっては冗談では済まされない場合もある。
jibun ni totte wa joudan no tsumori demo, aite ni totte wa joudan dewa sumasarenai baai mo aru.
There are times where it may just be a joke for you, but it's not a joke for the other person.","インフルエンザが流行してるこの時期、私たちも他人事では済まされない。
infuruenza ga ryuukou shiteru kono jiki, watashitachi mo taningoto dewa sumasarenai.
At this time of the flu epidemic, we can't ignore it and leave it alone."
どうにも～ない(dou nimo~nai),"not … by any means; no matter how hard one tries, cannot ~","Meaning 意味 not … by any means; no matter how hard one tries, cannot ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: ～ない , Japanese adverbs
How to use 使い方 どうにも Verb (ない form) Noun + がない",jlpt_n1,,"こんな蒸し暑い天気は、どうにも我慢できない。
konna mushiatsui tenki wa, dou nimo gaman dekinai.
I can't stand this humid weather.","私はこの場所ではどうにも勉強に集中できない。
watashi wa kono basho de wa dou nimo benkyou ni shuuchuu dekinai
I cannot concentrate on my studies at all in this place.","彼女が亡くなったことをどうにも信じられない。
kanojo ga nakunatta koto o dou nimo shinjirarenai.
I just can't believe that she passed away.","彼の怠惰な性格は、どうにも直しようがない。
kare no taida na seikaku wa, dou nimo naoshiyou ga nai.
Nothing can be done to fix his lazy personality.","その携帯電話はどうにも直しようがないほどに壊れてしまった。
sono keitai denwa wa dou nimo naoshiyou ga nai hodo ni kowarete shimatta.
The cell phone broke to the point that it couldn't be fixed."
が早いか(ga hayai ka),no sooner than; as soon as ~,"Meaning 意味 no sooner than; as soon as ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese particles
How to use 使い方 Verb (dictionary) が早いか",jlpt_n1,,"その人は、信号の色が変わるが早いか、走り出した。
sono hito wa, shingou no iro ga kawaru ga hayai ka, hashiri dashita.
That guy ran off as soon as the crosswalk light changed.","うちの子はいつも学校から帰ってきて、かばんを放り出すが早いか、遊びに行ってしまう。
uchi no ko wa itsumo gakkou kara kaette kite, kaban o houridasu ga hayai ka, asobi ni itte shimau.
As soon as my child gets home from school, they immediately drop their bag and go off to play.","隣席のクラスメイトは、授業の終わりのベルが鳴るが早いか、教室を出て行った。
rinseki no kurasumeito wa, jugyou no owari no beru ga naru ga hayai ka, kyoushitsu o dete itta.
My classmate who sits next to me rushed out of the classroom the instant the bell rang.","先生が地震だと叫ぶが早いか、子供たちは机の下に潜り込んだ。
sensei ga jishin da to sakebu ga hayai ka, kodomotachi wa tsukue no shita ni moguri konda.
The kids crawled under the table as soon as the teacher shouted “Earthquake.”","警察に気がつくが早いか、その男はどこかへ向かって走り出した。
keisatsu ni ki ga tsuku ga hayai ka, sono otoko wa doko ka e mukatte hashiri dashita.
As soon as he noticed the police, the man started running off somewhere."
"が/も～なら、～も～だ(ga/mo~nara, ~mo~da)",negative connection/comparison (like father like son),"Meaning 意味 negative connection/comparison (like father like son)
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun-1＋が/も＋Noun-1＋なら、 Noun-2＋も＋Noun-2＋だ",jlpt_n1,,"先生が先生なら、学生も学生だ。
sensei ga sensei nara, gakusei mo gakusei da.
Like teacher like student. (with a bad teacher like this of course the students are also bad)","味が味なら、サービスもサービスだ。
aji ga aji nara, saabisu mo saabisu da.
With bad taste like this, of course the service is also bad.","子供が子供なら、親も親だ。
kodomo ga kodomo nara, oya mo oya da.
With the kid like this, of course the parents are also bad.","あのカフェは、味も味なら、サービスもサービスだ。
ano kafee wa, aji mo aji nara, saabisu mo saabisu da.
That cafe's food and service are both bad.","この会社の社員は常識がない。上司が上司なら、部下も部下ですね。
kono kaisha no shain wa joushiki ga nai. joushi ga joushi nara, buka mo buka desu ne.
The employees at this company have no common sense. If the managers are bad, then the general staff will be too."
がましい(gamashii),look like; sound like; approximate; similar to; somewhat like ~,"Meaning 意味 look like; sound like; approximate; similar to; somewhat like ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: suffix
How to use 使い方 Noun がましい Related Kanji 漢字 N1 Kanji: 訳 (yaku, wake) Meaning: translate, reason, circumstance, case",jlpt_n1,,"差し出がましい男だ。
sashide gamashii otoko da.
He is too forward.","彼女は言い訳がましい事は一切言わなかった。
kanojo wa iiwake ga mashii koto wa issai iwanakatta.
She didn't say anything sounding like an excuse.","彼は他人がましい振る舞いをする。
kare wa tanin ga mashii furumai o suru.
He behaves like others.","言い訳がましいことは言わないほうがカッコいい。
iiwake ga mashii koto wa iwanai hou ga kakkoii.
It's cooler to not to make excuses.","彼女は恩着せがましい態度で僕と踊ってくれた。
kanojo wa onkise ga mashii taido de boku to odotte kureta.
She danced with me in a gracious manner."
がてら(gatera),while; on the same occasion; at the same time; coincidentally ~,"Meaning 意味 while; on the same occasion; at the same time; coincidentally ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb ます (sterm form) がてら Noun",jlpt_n1,,"散歩がてら、コンビニに行ってくるよ。
sanpo gatera, konbini ni itte kuru yo.
I'm going for a walk and will stop by a convenience store.","友達を駅まで送りがてらDVDを返してきた。
tomodachi o eki made okuri gatera DVD o kaeshite kita.
While I was dropping my friend off at the station, I returned the DVD.","遊びがてらお立ち寄りください。
asobi gatera otachi yori kudasai.
Please stop by when you are free","ちょっと買い物がてら、銀行に寄って記帳してきます。
chotto kaimono gatera, ginkou ni yotte kichou shite kimasu.
After a little shopping, I will stop by the bank and update my bank book.","紅葉を見がてら隣の町まで歩いた。
kouyou wo migatera tonari no machi made aruita.
While looking at the autumn leaves, I ended up walking to the next town."
ごとき / ごとく / ごとし(gotoki / gotoku / gotoshi),like; as if; the same as ~,"Meaning 意味 like; as if; the same as ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs , suffix
How to use 使い方 Verb （＋が／かの） (dictionary / た form) ごとき + noun ごとく～（文の途中） ごとし（文の終わり） Noun + の",jlpt_n1,,"彼は風のごとく走っています。
kare wa kaze no gotoku hashitte imasu.
He is running like the wind.","誰も見ていないかのごとく自由に踊りましょう。
dare mo mite inai ka no gotoku jiyuu ni odorimashou.
Let's dance freely as if no one is watching.","彼女は水のごとくお金を使う。
kanojo wa mizu no gotoku okane o tsukau.
She spends money like water.","彼は何でも知っているかのごとく、いつも自信を持って話す。
kare wa nan demo shitte iru ka no gotoku, itsumo jishin o motte hanasu.
He always speaks with confidence, as if he knew everything.","すでに述べたがごとく、この調査方法にはいくつかの問題点がある。
sudeni nobeta ga gotoku, kono chousa houhou ni wa ikutsu ka no mondaiten ga aru.
As I pointed out earlier, there are a few problems with the method used to conduct this survey."
