rank,kanji,onyomi,kunyomi,meaning,labels,notes,example_1,example_2
35,外,"gai, ge ガイ、 ゲ","soto, hoka, hazu-, to- そと、 ほか、 はず(す)、 と-",outside,jlpt_n5,,,
36,八,hachi ハチ,"ya(tsu), you や(つ)、 よう","eight, 8",jlpt_n5,,,
37,六,roku ロク,"mu(tsu), mui む(つ)、 むい","six, 6",jlpt_n5,,"六月には雨が多い。
roku gatsu ni wa ame ga ooi.
There's a lot of rain in June.","私の誕生日は九月六日です。
watashi no tanjoubi wa kugatsu muika desu.
My birthday is on September 6th."
38,下,"ka, ge カ、 ゲ","shita, shimo, moto, sa(geru), kuda(ru), o(rosu) した、 しも、 もと、 さ(げる)、 くだ(る)、 お(ろす)","below, down, descend, give, low, inferior",jlpt_n5,,"テーブルの下に犬がいます。
teeburu no shita ni inu ga imasu.
There's a dog below the table.","毎日地下鉄で仕事に行きます。
mainichi chikatetsu de shigoto ni ikimasu.
I go to work everyday by subway."
39,来,"rai, tai ライ、 タイ","kuru, kitaru, ki, ko く.る、 きた.る、 き、 こ","come, due, next, cause, become",jlpt_n5,,"来週海に行かない？
raishuu umi ni ikanai?
Do you want to go to the beach next week?","私も来ていいですか？
watashi mo kite ii desu ka?
Is it OK if I come too?"
40,気,"ki, ke キ、 ケ",iki いき,"spirit, mind, air, atmosphere, mood",jlpt_n5,,,
41,小,shou ショウ,"chii(sai), ko-, o-, sa- ちい(さい)、 こ-、 お-、 さ-","little, small",jlpt_n5,,,
42,七,shichi シチ,"nana(tsu), nano なな(つ)、 なの","seven, 7",jlpt_n5,,"私は七月に生まれた。
watashi wa shichi gatsu ni umareta.
I was born in July.","一週間は七日だ。
isshuu kan wa nanoka da.
Seven days make up a week."
43,山,"san, sen サン、 セン",yama やま,mountain,jlpt_n5,,"私はその山に登ってみたい。
watashi wa sono yama ni nobotte mitai.
I want to try to climb that mountain.","私たちは昨年その山に登った。
watashitachi wa sakunen sono yama ni nobotta.
We climbed that mountain last year."
44,話,wa ワ,"hana(su), hanashi はな(す)、 はなし","tale, talk",jlpt_n5,,,
45,女,jo ジョ,"onnna, me おんな、 め","woman, female",jlpt_n5,,,
46,北,hoku ホク,kita きた,north,jlpt_n5,,"彼女の地元はベトナムの北の方です。
kanojo no jimoto wa betonamu no kita nohou desu.
Her hometown is in northern Vietnam.","北海道へ行ったことがありますか？
hokkaidou he itta koto ga arimasu ka?
Have you ever been to Hokkaido?"
47,午,go ゴ,uma うま,"noon, sign of the horse",jlpt_n5,,,
48,百,"hyaku, byaku ヒャク、 ビャク",momo もも,hundred,jlpt_n5,,,
49,書,sho ショ,kaku か(く),write,jlpt_n5,,"ここにお名前を書いてください。
koko ni onamae o kaite kudasai.
Please write your name here.","読書が好きです。
dokusho ga suki desu.
I like reading."
50,先,sen セン,"saki, ma(zu) さき、 ま(ず)","before, ahead, previous, future, precedence",jlpt_n5,,,
51,名,"mei, myou メイ、 ミョウ",na な,"name, noted, distinguished, reputation",jlpt_n5,,"あなたの名前は何ですか？
anata no namae wa nandesuka?
What is your name?","あの人は有名人だよ！
ano hito wa yuumeijin da yo!
That person is really famous!"
52,川,sen セン,kawa かわ,"river, stream",jlpt_n5,,,
53,千,sen セン,chi ち,thousand,jlpt_n5,,"今は千円しか持ってない。
ima wa sen en shika motteinai.
I only have 1,000 yen right now.","このTシャツは３千円です。
ko no T shatsu wa sanzen en desu."
54,水,sui スイ,mizu みず,water,jlpt_n5,,"水が欲しい。
mizu ga hoshii.
I want some water.","今週の水曜日は空いていますか？
konshuu no suiyoubi wa aiteimasu ka?
Are you free this Wednesday?"
55,半,han ハン,naka(ba) なか(ば),"half, middle, odd number, semi-",jlpt_n5,,"今は1時半です。
ima wa ichi ji han desu.
It's 1:30 right now.","やっと半分終わった。
yatto hanbun owatta.
I'm finally halfway finished."
56,男,"dan, nan ダン、 ナン","otoko, o おとこ、 お",male; man,jlpt_n5,,"あの男性はだれですか？
ano dansei wa dare desu ka?
Who is that man?","赤ちゃんは男の子です。
akachan wa otoko no ko desu.
The baby is a boy!"
57,西,"sei, sai セイ、 サイ",nishi にし,west,jlpt_n5,,,
58,電,den デン,,electricity; electric powered,jlpt_n5,,"その電気を消してもいいですか？
sono denki o keshitemo ii desu ka?
Is it OK if I turn off that light?","田中さんに電話してください。
tanaka san ni denwa shite kudasai.
Please call Tanaka-san."
59,校,kou コウ,,"school, exam",jlpt_n5,,"あなたは高校生ですか？
anata wa koukousei desu ka?
Are you a high school student?","私は中学校の時サッカーを始めました。
watashi wa chuugakkou no toki sakkaa o hajimemashita.
I started playing soccer in my middle school days."
60,語,go ゴ,kata(ru) かた(る),"word, speech, language",jlpt_n5,,"日本語が学びたいです。
nihongo o manabi tai desu.
I want to learn Japanese.","私はこの単語を使ったことがない。
watashi wa kono tango o tsukatta koto ga nai.
I've never used this word before."
61,土,"do, to ド、 ト",tsuchi つち,"soil, earth, ground",jlpt_n5,,,
62,木,"boku, moku ボク、 モク","ki, ko き、 こ-","tree, wood",jlpt_n5,,"木曜日にかんじのクラスがあります。
mokuyoubi ni kanji no kurasu ga arimasu.
I have kanji class on Thursday.","この公園にたくさんの木がありますね。
kono kouen ni takusan no ki ga arimasu ne.
There's a lot of trees in this park, eh."
63,聞,"bun, mon ブン、 モン",ki(ku) き(く),to hear; to listen; to ask,jlpt_n5,,,
64,食,"shoku, jiki ショク、 ジキ","k(u), ta(beru), ha(mu) く(う)、 た(べる)、 は(む)","eat, food",jlpt_n5,,"今朝何を食べましたか？
kesa nani o tabemashita ka?
What did you eat this morning?","スーパーで食料品を買いに行きます。
suupaa de shokuryouhin o kai ni ikimasu.
I'm going to the store to buy some groceries."
65,車,sha シャ,kuruma くるま,"car, wheel",jlpt_n5,,"車を持っていますか？
kuruma wo motteimasu ka?
Do you have a car?","父は新しい車を買いました。
chichi wa atarashii kuruma wo kaimashita.
My father bought a new car."
66,何,ka カ,"nani, nan なに、 なん",what,jlpt_n5,,"何でですか？
nande desu ka?
Why is that?","子どもは何才ですか？
kodomo wa nansai desu ka?
How old is your child?"
67,南,"nan, na ナン、 ナ",minami みなみ,south,jlpt_n5,,"風が南に変わった。
kaze ga minami ni kawatta.
The wind shifted to the South.","その鳥たちは南方から来ています。
sono toritachi wa nanbou kara kiteimasu.
Those birds are coming from the South."
68,万,"man, ban マン、 バン",,"ten thousand, 10,000",jlpt_n5,,"１万円は１００ドルと近いです。
ichiman en wa hyaku doru to chikai desu.
10,000 yen is very close in value to 100 dollars.","私の月収は25万円です。
watashi no gesshuu wa nijuugo man en desu.
My monthly salary is 250,000 yen (about $2,500)."
69,毎,mai マイ,goto(ni) ごと(に),every,jlpt_n5,,"私は毎週ヨガをしています。
watashi wa maishuu yoga o shiteimasu.
I do yoga every week.","毎週水曜日は忙しいです。
maishuu suiyoubi wa isogashii desu.
I'm busy every Wednesday."
70,白,"haku, byaku ハク、 ビャク",shiro(i) しろ(い),white,jlpt_n5,,"私の犬たちは白い。
watashi no inutachi wa shiroi.
My dogs are white.","白い猫を飼っています。
shiroi neko o katteimasu.
I have a white cat."
71,天,ten テン,amatsu あまつ,"heavens, sky, imperial",jlpt_n5,,,
72,母,bo ボ,"haha, kaa はは、 かあ",mother,jlpt_n5,,"明日は母の日です。
ashita wa haha no hi desu.
Tomorrow is mother's day.","今日は私のお母さんの誕生日です。
kyou wa watashi no okaasan no tanjoubi desu.
Today is my mother's birthday."
73,火,ka カ,"hi, bi, ho ひ、 -び、 ほ-",fire,jlpt_n5,,"火曜日にスーパーに行きます。
kayoubi ni suupaa ni ikimasu.
I'm going to the supermarket on Tuesday.","冬は火事が多い。
fuyu wa kaji ga ooi.
We often have fires in winter."
74,右,"u, yuu ウ、 ユウ",migi みぎ,right (direction),jlpt_n5,,"質問があれば右手をあげて下さい。
shitsumon ga areba migite o agete kudasai.
If you have any questions please raise your right hand.","その信号を右に曲がってください。
sono shingou o migi ni magatte kudasai.
Please turn right at that intersection."
75,読,"doku, toku, tou ドク、 トク、 トウ",yo(mu) よ(む),to read,jlpt_n5,,,
76,友,yuu ユウ,tomo とも,friend,jlpt_n5,,"友だちになってくれてありがとう。
tomodachi ni natte kurete arigatou.
Thanks for being friends with me.","友だちを待ってるだけ。
tomodachi o matteiru dake.
I'm just waiting for a friend."
77,左,"sa, sha サ、 シャ",hidari ひだり,left,jlpt_n5,,,
78,休,kyuu キュウ,yasu(mu) やす(む),"rest, day off, retire, sleep",jlpt_n5,,"私は明日お休みです。
watashi wa ashita oyasumi desu.
I have the day off tomorrow.","来週休みます。
raishuu yasumimasu.
I will take off next week."
79,父,fu フ,"chichi, tou ちち、 とう",father,jlpt_n5,,"父は元気です。
chichi wa genki desu.
My father is in good health.","仕事が終わったら、お父さんはすぐ寝ます。
shigoto ga owattara, otousan wa sugu nemasu.
My father goes to sleep as soon as he gets back from work."
80,雨,u ウ,"ame, ama あめ、 あま",rain,jlpt_n5,,"明日は雨が降る。
ashita wa ame ga furu.
It's going to rain tomorrow.","昨日は大雨でした。
kinou wa ooame deshita.
We had heavy rain yesterday."
